Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,156 Sportwagon Range,2.4 JTD,M5,2387,Diesel,9.0,5.6,6.8,31.4,50.4,41.5,180,539,III,71.5,0.435,0.497,0.000,0.469,0.041
ALFA ROMEO,166 Range,2.0,M6,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,230,750,III,71.0,0.745,0.000,0.108,0.058,0.000
ALFA ROMEO,166 Range,2.5 V6,M6,2492,Petrol,17.2,8.8,11.9,16.4,32.1,23.7,284,921,III,72.5,1.116,0.000,0.131,0.096,0.000
ALFA ROMEO,166 Range,3.0 V6,M6,2959,Petrol,18.3,9.1,12.5,15.4,31.0,22.6,297,966,III,71.0,0.870,0.000,0.130,0.084,0.000
ALFA ROMEO,166 Range,3.0 V6 Sportronic,A4,2959,Petrol,19.4,9.3,13.0,14.6,30.4,21.7,310,1006,III,72.0,0.548,0.000,0.108,0.043,0.000
ALFA ROMEO,Spider/GTV,2.0 TS 16v,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,711,III,71.5,0.480,0.000,0.096,0.070,0.000
ALFA ROMEO,Spider/GTV,3.0 V6 24v,M6,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,905,III,71.0,0.876,0.000,0.103,0.092,0.000
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),A5,5935,Petrol,33.1,11.9,19.7,7.1,19.7,11.9,472,1834,III,74.0,0.760,0.000,0.080,0.070,0.000
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),M6,5935,Petrol,30.8,12.9,19.5,7.6,18.3,12.0,469,1818,III,75.0,0.490,0.000,0.070,0.060,0.000
AUDI,Audi A2 (Standard & SE),1.4 TDI & SE Models,M5,1422,Diesel,5.6,3.5,4.3,50.4,80.7,65.7,116,340,III,72.0,0.116,0.351,0.000,0.331,0.018
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.9 TDI S (90 bhp),M5,1896,Diesel,6.5,4.1,4.9,43.5,68.9,57.6,132,388,III,72.0,0.117,0.403,0.000,0.369,0.029
AUDI,"Audi A3 (3 door, S, SE, Sport and Sport Quattro)",1.9 TDI SE (90 bhp),M5,1896,Diesel,6.6,4.2,5.0,42.8,67.3,56.5,135,396,III,72.0,0.117,0.403,0.000,0.369,0.029
