Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
PEUGEOT,406 Saloon,3.0 V6 (210 bhp),A4,2946,Petrol,14.3,7.5,10.0,19.8,37.7,28.3,238,723,III,73.5,0.161,0.076,0.061,0.014,
PEUGEOT,406 Saloon,2.0 HDi (90 bhp),M5,1997,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,150,429,III,72.5,0.141,0.403,,0.386,0.038
PEUGEOT,406 Saloon,2.0 HDi (110 bhp),M5,1997,Diesel,7.5,4.5,5.6,37.7,62.8,50.5,147,421,III,72.9,0.384,0.421,,0.388,0.030
PEUGEOT,406 Saloon,2.2 HDi FAP (136 bhp),M5,2179,Diesel,8.8,4.9,6.4,32.1,57.7,44.1,168,482,III,73.1,0.197,0.348,,0.321,0.001
PEUGEOT,406 Coupé,2.0 (138 bhp),M5,1997,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,197,602,III,74.0,0.625,0.131,0.073,0.058,
PEUGEOT,406 Coupé,2.0 (138 bhp),A4,1997,Petrol,12.3,6.5,8.6,23.0,43.5,32.9,206,622,III,72.4,0.655,,0.190,0.122,
PEUGEOT,406 Coupé,3.0 V6 (210 bhp),M5,2946,Petrol,14.4,7.4,10.0,19.6,38.2,28.3,238,723,III,71.0,0.148,0.078,0.053,0.025,
PEUGEOT,406 Coupé,3.0 V6 (210 bhp),A4,2946,Petrol,14.7,7.8,10.4,19.2,36.2,27.2,248,752,III,73.5,0.190,0.086,0.072,0.014,
PEUGEOT,406 Coupé,2.2 HDi FAP (136 bhp),M5,2179,Diesel,8.8,4.9,6.4,32.1,57.7,44.1,168,482,III,73.4,0.163,0.377,,0.352,0.002
PEUGEOT,406 Estate,1.8 (116 bhp),M5,1749,Petrol,10.8,6.2,7.9,26.2,45.6,35.8,187,571,III,72.4,0.415,,0.070,0.066,
PEUGEOT,406 Estate,2.0 (138 bhp),M5,1997,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,609,III,74.0,0.486,0.134,0.077,0.058,
PEUGEOT,406 Estate,2.0 (138 bhp),A4,1997,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,208,629,III,72.4,0.631,,0.174,0.100,
PEUGEOT,406 Estate,2.2 (160 bhp),M5,2230,Petrol,12.8,6.7,8.9,22.1,42.2,31.7,212,645,III,73.5,1.154,,0.127,0.173,
PEUGEOT,406 Estate,3.0 V6 (210 bhp),M5,2946,Petrol,13.9,7.4,9.8,20.3,38.2,28.8,234,710,III,74.0,0.132,0.091,0.052,0.040,
PEUGEOT,406 Estate,3.0 V6 (210 bhp),A4,2946,Petrol,14.5,7.7,10.2,19.5,36.7,27.7,243,739,III,73.5,0.140,0.084,0.062,0.022,
PEUGEOT,406 Estate,2.0 HDi (90 bhp),M5,1997,Diesel,7.7,4.8,5.9,36.7,58.9,47.9,155,444,III,72.5,0.142,0.439,,0.420,0.040
PEUGEOT,406 Estate,2.0 HDi (110 bhp),M5,1997,Diesel,7.5,4.6,5.7,37.7,61.4,49.6,149,429,III,72.9,0.409,0.443,,0.404,0.032
PEUGEOT,406 Estate,2.2 HDi FAP (136 bhp),M5,2179,Diesel,8.8,5.1,6.5,32.1,55.4,43.5,170,489,III,73.1,0.141,0.388,,0.364,0.001
PEUGEOT,607,2.0 (138 bhp),M5,1997,Petrol,12.3,6.6,8.6,23.0,42.8,32.9,205,622,III,74.0,0.378,,0.125,0.110,
PEUGEOT,607,2.2 (160 bhp),M5,2230,Petrol,12.7,7.2,9.2,22.2,39.2,30.7,219,666,III,73.6,1.175,,0.100,0.072,
PEUGEOT,607,2.2 (160 bhp),A4,2230,Petrol,13.4,7.1,9.4,21.1,39.8,30.1,225,680,III,72.3,0.851,,0.131,0.103,
PEUGEOT,607,3.0 V6 (210 bhp),M5,2946,Petrol,14.0,7.4,9.8,20.2,38.2,28.8,234,710,III,73.8,0.590,,0.124,0.037,
PEUGEOT,607,3.0 V6 (210 bhp),A4,2946,Petrol,14.4,7.8,10.2,19.6,36.2,27.7,245,739,III,72.9,0.596,,0.132,0.016,
PEUGEOT,607,2.2 HDi FAP (136 bhp),M5,2179,Diesel,8.9,5.5,6.7,31.7,51.4,42.2,178,504,III,72.7,0.258,0.403,,0.331,0.006
PEUGEOT,607,2.2 HDi FAP (136 bhp),A4,2179,Diesel,9.8,5.8,7.2,28.8,48.7,39.2,193,543,III,71.6,0.094,0.487,,0.465,0.001
PEUGEOT,806,2.0 (139 bhp),M5,1997,Petrol,12.3,7.4,9.2,23.0,38.2,30.7,221,666,III,72.3,0.259,,0.032,0.037,
PEUGEOT,806,2.0 (139 bhp),A4,1997,Petrol,13.6,7.6,9.7,20.8,37.2,29.1,232,703,III,73.6,0.497,,0.079,0.035,
PEUGEOT,806,2.0 HDi 16v (110 bhp),M5,1997,Diesel,8.8,5.9,6.9,32.1,47.9,40.9,184,520,III,74.7,0.367,0.493,,0.444,0.044
PEUGEOT,Expert Combi,2.0 HDi 16v (110 bhp),M5,1997,Diesel,8.9,6.0,7.0,31.7,47.1,40.4,186,527,III,74.7,0.321,0.513,,0.470,0.031
PEUGEOT,Partner Combi,1.4 (75 bhp),M5,1360,Petrol,8.9,6.0,7.1,31.7,47.1,39.8,168,514,III,73.2,0.742,,0.121,0.019,
PEUGEOT,Partner Combi,1.9 D (70 bhp),M5,1868,Diesel,8.7,5.8,6.9,32.5,48.7,40.9,181,520,III,72.7,0.198,0.411,,0.394,0.040
PORSCHE,All Models,911 Carrera Coupé,M6,3387,Petrol,17.2,8.5,11.8,16.4,33.2,23.9,285,856,III,75.0,0.480,0.192,0.106,0.086,
PORSCHE,All Models,911 Carrera Coupé Tiptronic S,A5,3387,Petrol,18.3,8.5,12.0,15.4,33.2,23.5,290,871,III,73.0,0.658,0.197,0.148,0.049
PORSCHE,All Models,911 Carrera 4 Coupé,M6,3387,Petrol,17.2,8.8,11.8,16.4,32.1,23.9,295,856,III,75.0,0.419,0.184,0.094,0.090
PORSCHE,All Models,911 Carrera 4 Coupé Tiptronic S,A5,3387,Petrol,18.6,8.8,12.4,15.2,32.1,22.8,304,897,III,73.0,0.679,0.205,0.149,0.056
PORSCHE,All Models,911 Carrera Cabriolet,M6,3387,Petrol,17.2,8.5,11.8,16.4,33.2,23.9,285,856,III,75.0,0.480,0.192,0.106,0.086
PORSCHE,All Models,911 Cabriolet Tiptronic S,A5,3387,Petrol,18.3,8.5,12.0,15.4,33.2,23.5,290,871,III,73.0,0.658,0.197,0.148,0.049
PORSCHE,All Models,911 Carrera 4 Cabriolet,M6,3387,Petrol,17.2,8.8,11.8,16.4,32.1,23.9,295,856,III,75.0,0.419,0.184,0.094,0.090
PORSCHE,All Models,911 Carrera 4 Cabriolet Tiptronic S,A5,3387,Petrol,18.6,8.8,12.4,15.2,32.1,22.8,304,897,III,73.0,0.679,0.205,0.149,0.056
PORSCHE,All Models,911 Turbo,M6,3600,Petrol,18.9,9.2,12.9,14.9,30.7,21.9,309,934,III,75.0,0.303,0.073,0.054,0.019
PORSCHE,All Models,911 Turbo Tiptronic S,A5,3600,Petrol,21.9,9.6,13.9,12.9,29.4,20.3,339,1008,III,73.0,0.404,0.120,0.088,0.032
PORSCHE,All Models,Boxster,M5,2687,Petrol,14.6,7.4,9.9,19.3,38.2,28.5,245,718,III,75.0,0.798,,0.107,0.055
PORSCHE,All Models,Boxster Tiptronic S,A5,2687,Petrol,15.9,8.0,10.9,17.8,35.3,25.9,264,790,III,74.0,1.252,,0.199,0.077
PORSCHE,All Models,Boxster S,M6,3179,Petrol,15.7,8.0,10.7,18.0,35.3,26.4,265,775,III,75.0,0.613,,0.088,0.048
PORSCHE,All Models,Boxster S Tiptronic S,A5,3179,Petrol,17.2,8.2,11.3,16.4,34.4,25.0,280,818,III,74.0,1.223,,0.149,0.047
PROTON,Satria,1300 3 Door Hatchback,M5,1299,Petrol,11.7,6.4,8.4,24.1,44.3,33.7,200,607,III,73.7,0.450,,0.180,0.050
PROTON,Satria,1500 3 Door Hatchback,M5,1468,Petrol,12.4,6.7,8.8,22.8,42.2,32.7,211,626,III,71.6,0.410,,0.150,0.040
PROTON,Satria,1500 3 Door Hatchback,A3,1468,Petrol,11.7,6.6,8.5,24.1,42.8,33.4,202,612,III,71.5,0.580,,0.180,0.090
