Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.8 V6 Sport & Quattro Models (194 bhp),QM5,2771,Petrol,15.5,8.3,10.9,18.2,34,25.9,262,843,IV,72,0.332,0,0.042,0.032,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",4.2 V8 Sport & Quattro Models (300 bhp),QA5,4172,Petrol,19.4,9.5,13.1,14.6,29.7,21.6,314,1010,IV,74,0.419,0,0.058,0.038,0
AUDI,"Audi A8 (Sport, Quattro & Quattro Sport)",2.8 Sport Quattro & Sport Tiptronic (194 bhp),A5,2772,Petrol,17.5,8.5,11.8,16.1,33.2,23.9,283,913,IV,72,0.33,0,0.064,0.031,0
AUDI,"Audi A8 (Sport, Quattro & Quattro Sport)",3.7 V8 Quattro & Sport Tiptronic (260 bhp),QA5,3697,Petrol,18.4,9,12.4,15.4,31.4,22.8,298,957,IV,73,0.665,0,0.07,0.018,0
AUDI,"Audi A8 (Sport, Quattro & Quattro Sport)",4.2 V8 Quattro Tiptronic (310 bhp),QA5,4172,Petrol,19.6,9.2,13,14.4,30.7,21.7,312,1006,IV,74,0.38,0,0.054,0.055,0
AUDI,"Audi A8 (Sport, Quattro & Quattro Sport)",4.2 V8 Quattro (LWB) Tiptronic (310 bhp),QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,1010,IV,74,0.38,0,0.054,0.055,0
FORD,Fiesta,1.25i 16V (13 inch tyre),M5,1242,Petrol,8.7,5.8,6.9,32.5,48.7,40.9,161,534,IV,73,0.296,0,0.054,0.061,0
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,32.1,49.6,40.9,161,534,IV,73,0.296,0,0.054,0.061,0
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6,7.3,29.7,47.1,38.7,171,564,IV,71,0.533,0,0.073,0.032,0
FORD,Puma,1.6i 16V,M5,1596,Petrol,9.5,6,7.3,29.7,47.1,38.7,171,564,IV,70,0.2,0,0.037,0.023,0
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon,A4,1999,Petrol,12.6,7.2,9.1,22.4,39.2,31,219,704,IV,70,0.233,0,0.062,0.048,0
FORD,New Mondeo,2.0i 16V Estate LX/ Zetec,A4,1999,Petrol,12.6,7.3,9.2,22.4,38.7,30.7,221,711,IV,70,0.233,0,0.062,0.048,0
FORD,New Mondeo,2.0i 16V Estate Ghia/Ghia X,A4,1999,Petrol,12.7,7.4,9.3,22.2,38.2,30.4,223,718,IV,70,0.233,0,0.062,0.048,0
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Zetec S,M5,2495,Petrol,14.2,7.2,9.8,19.8,39.2,28.2,235,774,IV,71,0.174,0,0.059,0.019,0
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Ghia X,M5,2495,Petrol,14.3,7.3,9.9,19.8,38.7,28.5,238,766,IV,71,0.174,0,0.059,0.019,0
FORD,New Mondeo,2.5 V6 4/5 Door Estate,M5,2495,Petrol,14.4,7.4,10,19.6,38.2,28.2,240,774,IV,71,0.174,0,0.059,0.019,0
FORD,New Galaxy,2.8i CD-V6,M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,833,IV,73,0.28,0,0.071,0.059,0
FORD,New Galaxy,2.8i CD-V6,A5,2792,Petrol,16.8,9.2,12,16.8,30.7,23.5,288,929,IV,73,0.449,0,0.061,0.016,0
LEXUS,All Models,GS430,A5,4293,Petrol,17.3,9.4,12.3,16.3,30.1,23,296,949,IV,71,0.112,0,0.041,0.051,0
LEXUS,All Models,LS430,A5,4293,Petrol,17.5,8.9,12,16.1,31.7,23.5,289,929,IV,72,0.23,0,0.04,0.02,0
SEAT,Arosa,1.0 & S Models (50 bhp),M5,999,Petrol,7.8,4.7,5.8,36.2,60.1,48.7,139,448,IV,73,0.209,0,0.071,0.025,0
SEAT,Arosa,1.4  Auto S (60 bhp),A4,1390,Petrol,10,6.1,7.5,28.2,46.3,37.7,180,579,IV,74,0.395,0,0.066,0.011,0
SEAT,Arosa,1.4 16v Sport (100 bhp),M5,1390,Petrol,9.3,5.1,6.6,30.4,55.4,42.8,158,510,IV,73,0.677,0,0.083,0.035,0
SEAT,Ibiza,1.4 Cool & S Models (60 bhp),M5,1390,Petrol,9,5.4,6.7,31.4,52.3,42.2,161,517,IV,70,0.299,0,0.022,0.06,0
SEAT,Ibiza,1.6 Sport (101 bhp),M5,1590,Petrol,11,6.1,7.9,25.7,46.3,35.8,190,610,IV,73,0.592,0,0.058,0.119,0
SEAT,Cordoba,1.4 16V Cool & S Models (75 bhp),M5,1390,Petrol,9.2,5.4,6.8,30.7,52.3,41.5,163,526,IV,72,0.301,0,0.074,0.16,0
SEAT,Cordoba Vario,1.4 16V Cool & S Models (75 bhp),M5,1390,Petrol,9.1,5.4,6.8,31,52.3,41.5,163,526,IV,73,0.301,0,0.074,0.16,0
SEAT,Leon,1.4 S (75 bhp),M5,1390,Petrol,9.1,5.5,6.8,31,51.4,41.5,163,526,IV,72,0.121,0,0.04,0.074,0
