Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 16"" rear wheels",CVT,1991,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,1223,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 16"" rear wheels",M5,1991,Diesel,5.6,4.0,4.6,50.4,70.6,61.4,122,1004,70.0,0.245,,0.195,0.227,0.002,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 16"" rear wheels No DPF",CVT,1991,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,1223,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 17"" & 18"" rear wheels",CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,1266,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 17"" & 18"" rear wheels",M5,1991,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,125,1026,70.0,0.245,,0.195,0.227,0.002,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 17"" & 18"" rear wheels No DPF",CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,1266,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 15"" rear wheels",CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,1179,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 15"" rear wheels",M6,1991,Diesel,6.4,4.2,5.0,44.1,67.3,56.5,134,1091,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 15"" rear wheels No DPF",CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,1179,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,A-Class Model Year 2010,"A 180 CDI with 15"" rear wheels No DPF",M6,1991,Diesel,6.4,4.2,5.0,44.1,67.3,56.5,134,1091,72.0,0.234,,0.190,0.234,0.019,
