Manufacturer,Model,Description,Transmission,Transmission type,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Electric range (Km),Electric range (miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost of driving 12000 Miles (£s),Electricity cost of driving 12000 Miles (£s),Total costs 12000 miles (£s),Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [mg/km],Euro Standard,Booklet,VED Band
MERCEDES-BENZ,"B-Class, Model Year 2014","B 200 CDI with 16"" rear wheels",Manual,M6,1796,Diesel,,,,,5.4,3.8,4.4,52.3,74.3,64.2,114,"£1,232.00",,"£1,232.00",75.0,348,,150,175,0.1,5,August 2013,C
MERCEDES-BENZ,"B-Class, Model Year 2014","B 200 CDI with 17"" rear wheels",Automatic,A7,1796,Diesel,,,,,5.1,4.1,4.4,55.4,68.9,64.2,116,"£1,232.00",,"£1,232.00",75.0,227,,160,179,0.5,5,August 2013,C
MERCEDES-BENZ,"B-Class, Model Year 2014","B 200 CDI with 17"" rear wheels",Manual,M6,1796,Diesel,,,,,5.5,4.0,4.5,51.4,70.6,62.8,118,"£1,260.00",,"£1,260.00",75.0,348,,150,175,0.1,5,August 2013,C
MERCEDES-BENZ,"B-Class, Model Year 2014","B 200 CDI with 18"" rear wheels",Automatic,A7,1796,Diesel,,,,,5.2,4.2,4.5,54.3,67.3,62.8,120,"£1,260.00",,"£1,260.00",75.0,227,,160,179,0.5,5,August 2013,C
MERCEDES-BENZ,"B-Class, Model Year 2014","B 200 CDI with 18"" rear wheels",Manual,M6,1796,Diesel,,,,,5.6,4.1,4.6,50.4,68.9,61.4,121,"£1,288.00",,"£1,288.00",75.0,348,,150,175,0.1,5,August 2013,D
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 180 with 18"" rear wheels",Manual,M6,1595,Petrol,,,,,8.1,5.4,6.4,34.9,52.3,44.1,149,"£1,707.00",,"£1,707.00",74.0,127,64,31,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 220 CDI with 16"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.2,3.5,4.1,54.3,80.7,68.9,109,"£1,148.00",,"£1,148.00",72.0,165,,173,181,0.3,5,August 2013,B
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 220 CDI with 16"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,128,"£1,373.00",,"£1,373.00",70.0,54,,146,156,0.2,5,August 2013,D
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.3,5.1,44.8,65.7,55.4,133,"£1,428.00",,"£1,428.00",72.0,165,,173,181,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.5,4.6,5.3,43.5,61.4,53.3,139,"£1,484.00",,"£1,484.00",70.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.5,4.6,5.3,43.5,61.4,53.3,139,"£1,484.00",,"£1,484.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.8,4.6,5.4,41.5,61.4,52.3,143,"£1,512.00",,"£1,512.00",72.0,210,,170,183,0.3,5,August 2013,F
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 250 with 18"" rear wheels ECO Start/Stop",Automatic,A7,1796,Petrol,,,,,9.1,5.7,7.0,31.0,49.6,40.4,163,"£1,863.00",,"£1,863.00",74.0,255,48,19,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 350 with 18"" rear wheels ECO Start/Stop",Automatic,A7,3498,Petrol,,,,,9.6,5.6,7.0,29.4,50.4,40.4,164,"£1,863.00",,"£1,863.00",71.0,118,55,20,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Coupé, Model Year 2013","C 63 AMG with 18"" & 19"" rear wheels",Automatic,A7,6208,Petrol,,,,,18.2,8.4,12.0,15.5,33.6,23.5,280,"£3,203.00",,"£3,203.00",74.0,302,28,34,,,5,August 2013,M
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 180 with 16"" rear wheels",Manual,M6,1595,Petrol,,,,,7.7,4.9,5.9,36.7,57.6,47.9,139,"£1,572.00",,"£1,572.00",74.0,127,64,31,,,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 180 with 17"" rear wheels",Manual,M6,1595,Petrol,,,,,7.8,5.2,6.1,36.2,54.3,46.3,144,"£1,626.00",,"£1,626.00",74.0,127,64,31,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 180 with 17"" rear wheels",Automatic,A7,1595,Petrol,,,,,7.8,5.3,6.2,36.2,53.3,45.6,145,"£1,651.00",,"£1,651.00",71.0,192,52,26,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 180 with 18"" rear wheels",Automatic,A7,1595,Petrol,,,,,7.9,5.5,6.4,35.8,51.4,44.1,149,"£1,707.00",,"£1,707.00",71.0,192,52,26,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 180 with 18"" rear wheels",Manual,M6,1595,Petrol,,,,,8.0,5.5,6.4,35.3,51.4,44.1,150,"£1,707.00",,"£1,707.00",74.0,127,64,31,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 16"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.0,4.1,4.8,47.1,68.9,58.9,127,"£1,343.00",,"£1,343.00",74.0,268,,154,172,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 16"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.2,4.5,5.1,45.6,62.8,55.4,134,"£1,428.00",,"£1,428.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.2,4.4,5.0,45.6,64.2,56.5,133,"£1,400.00",,"£1,400.00",74.0,268,,154,172,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.7,5.3,44.1,60.1,53.3,140,"£1,484.00",,"£1,484.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.4,4.8,5.4,44.1,58.9,52.3,141,"£1,512.00",,"£1,512.00",74.0,268,,154,172,0.3,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 200 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.5,4.9,5.5,43.5,57.6,51.4,144,"£1,539.00",,"£1,539.00",70.0,68,,157,168,0.1,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 16"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.0,4.0,4.7,47.1,70.6,60.1,124,"£1,316.00",,"£1,316.00",72.0,165,,173,181,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 16"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.3,4.3,5.1,44.8,65.7,55.4,134,"£1,428.00",,"£1,428.00",70.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 16"" rear wheels Energy Efficient Tyre & EPS ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.3,3.8,4.3,53.3,74.3,65.7,114,"£1,204.00",,"£1,204.00",72.0,165,,173,181,0.3,5,August 2013,C
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,128,"£1,373.00",,"£1,373.00",72.0,165,,173,181,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.5,5.2,44.1,62.8,54.3,136,"£1,457.00",,"£1,457.00",70.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.5,5.2,44.8,62.8,54.3,135,"£1,457.00",,"£1,457.00",72.0,165,,173,181,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.6,5.3,44.1,61.4,53.3,138,"£1,484.00",,"£1,484.00",70.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.4,4.3,5.1,44.1,65.7,55.4,132,"£1,428.00",,"£1,428.00",72.0,210,,170,183,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.5,5.2,44.1,62.8,54.3,136,"£1,457.00",,"£1,457.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.6,5.3,44.1,61.4,53.3,138,"£1,484.00",,"£1,484.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.7,4.6,5.4,42.2,61.4,52.3,141,"£1,512.00",,"£1,512.00",72.0,210,,170,183,0.3,5,August 2013,F
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 with 17"" rear wheels ECO Start/Stop",Automatic,A7,1796,Petrol,,,,,9.0,5.6,6.8,31.4,50.4,41.5,159,"£1,814.00",,"£1,814.00",73.0,354,56,15,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 250 with 18"" rear wheels ECO Start/Stop",Automatic,A7,1796,Petrol,,,,,9.1,5.7,6.9,31.0,49.6,40.9,162,"£1,841.00",,"£1,841.00",73.0,354,56,15,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 350 CDI with 17"" rear wheels",Automatic,A7,2987,Diesel,,,,,7.3,5.4,6.0,38.7,52.3,47.1,159,"£1,679.00",,"£1,679.00",71.0,303,,147,190,1.6,5,August 2013,G
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 350 CDI with 18"" rear wheels",Automatic,A7,2987,Diesel,,,,,7.4,5.4,6.2,38.2,52.3,45.6,162,"£1,735.00",,"£1,735.00",71.0,303,,147,190,1.6,5,August 2013,G
MERCEDES-BENZ,"C-Class Estate, Model Year 2013","C 63 AMG with 18"" & 19"" rear wheels",Automatic,A7,6208,Petrol,,,,,18.6,8.5,12.2,15.2,33.2,23.2,285,"£3,245.00",,"£3,245.00",74.0,302,28,34,,,5,August 2013,M
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 16"" rear wheels 195/60 Tyres",Automatic,A7,1595,Petrol,,,,,7.7,4.8,5.8,36.7,58.9,48.7,136,"£1,546.00",,"£1,546.00",71.0,192,52,26,,,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 16"" rear wheels 195/60 Tyres",Manual,M6,1595,Petrol,,,,,7.7,4.7,5.8,36.7,60.1,48.7,136,"£1,546.00",,"£1,546.00",74.0,127,64,31,,,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 16"" rear wheels 205/55 Tyres",Automatic,A7,1595,Petrol,,,,,7.7,4.9,5.9,36.7,57.6,47.9,138,"£1,572.00",,"£1,572.00",71.0,192,52,26,,,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 16"" rear wheels 205/55 Tyres",Manual,M6,1595,Petrol,,,,,7.8,4.8,5.9,36.2,58.9,47.9,138,"£1,572.00",,"£1,572.00",74.0,127,64,31,,,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 17"" rear wheels",Manual,M6,1595,Petrol,,,,,7.9,5.0,6.1,35.8,56.5,46.3,142,"£1,626.00",,"£1,626.00",74.0,127,64,31,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 18"" rear wheels",Automatic,A7,1595,Petrol,,,,,8.0,5.3,6.3,35.3,53.3,44.8,147,"£1,680.00",,"£1,680.00",71.0,192,52,26,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 180 with 18"" rear wheels",Manual,M6,1595,Petrol,,,,,8.1,5.4,6.4,34.9,52.3,44.1,149,"£1,707.00",,"£1,707.00",74.0,127,64,31,,,5,August 2013,F
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 16"" rear wheels 195/60 Tyres ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.9,4.1,4.8,47.9,68.9,58.9,125,"£1,343.00",,"£1,343.00",74.0,268,,154,172,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 16"" rear wheels 195/60 Tyres ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.1,4.3,4.9,46.3,65.7,57.6,129,"£1,373.00",,"£1,373.00",70.0,68,,157,168,0.1,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.0,4.2,4.9,47.1,67.3,57.6,127,"£1,373.00",,"£1,373.00",74.0,268,,154,172,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.1,4.4,5.0,46.3,64.2,56.5,131,"£1,400.00",,"£1,400.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.1,4.4,5.0,46.3,64.2,56.5,131,"£1,400.00",,"£1,400.00",74.0,268,,154,172,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.3,4.5,5.1,44.8,62.8,55.4,135,"£1,428.00",,"£1,428.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.7,5.3,44.8,60.1,53.3,139,"£1,484.00",,"£1,484.00",74.0,268,,154,172,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 200 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.7,5.3,44.1,60.1,53.3,140,"£1,484.00",,"£1,484.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.6,3.7,4.4,50.4,76.3,64.2,117,"£1,232.00",,"£1,232.00",72.0,165,,173,181,0.3,5,August 2013,C
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.0,4.1,4.8,47.1,58.9,58.9,125,"£1,343.00",,"£1,343.00",70.0,54,,146,156,0.2,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 16"" rear wheels Energy Efficient Tyres & EPS ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.2,3.5,4.1,54.3,80.7,68.9,109,"£1,148.00",,"£1,148.00",72.0,165,,173,181,0.3,5,August 2013,B
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 16"" rear wheels Energy Efficient Tyres & EPS ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,5.4,3.8,4.4,52.3,74.3,64.2,116,"£1,232.00",,"£1,232.00",70.0,54,,146,157,0.2,5,August 2013,C
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,5.9,3.9,4.7,47.9,72.4,60.1,123,"£1,316.00",,"£1,316.00",72.0,165,,173,181,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.2,4.3,5.0,45.6,65.7,56.5,131,"£1,400.00",,"£1,400.00",70.0,54,,146,157,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.3,5.1,44.8,65.7,55.4,133,"£1,428.00",,"£1,428.00",72.0,165,,173,181,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 220 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.5,5.2,44.1,62.8,54.3,136,"£1,457.00",,"£1,457.00",70.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.2,4.3,5.0,45.6,65.7,56.5,131,"£1,400.00",,"£1,400.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 CDI with 17"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.2,5.0,44.8,67.3,56.5,131,"£1,400.00",,"£1,400.00",72.0,210,,170,183,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.5,5.2,44.1,62.8,54.3,136,"£1,457.00",,"£1,457.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.7,4.5,5.3,42.2,62.8,53.3,140,"£1,484.00",,"£1,484.00",72.0,210,,170,183,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 with 17"" rear wheels ECO Start/Stop",Automatic,A7,1796,Petrol,,,,,8.9,5.4,6.7,31.7,52.3,42.2,156,"£1,784.00",,"£1,784.00",73.0,354,56,15,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 250 with 18"" rear wheels ECO Start/Stop",Automatic,A7,1796,Petrol,,,,,9.0,5.6,6.9,31.4,50.4,40.9,161,"£1,841.00",,"£1,841.00",73.0,354,56,15,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 350 CDI with 17"" rear wheels",Automatic,A7,2987,Diesel,,,,,7.2,5.2,5.9,39.2,54.3,47.9,154,"£1,651.00",,"£1,651.00",71.0,303,,147,190,1.6,5,August 2013,G
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 350 CDI with 18"" rear wheels",Automatic,A7,2987,Diesel,,,,,7.2,5.3,6.0,39.2,53.3,47.1,157,"£1,679.00",,"£1,679.00",71.0,303,,147,190,1.6,5,August 2013,G
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 350 with 18"" rear wheels ECO Start/Stop",Automatic,A7,3498,Petrol,,,,,9.6,5.6,7.0,29.4,50.4,40.4,164,"£1,863.00",,"£1,863.00",71.0,118,55,20,,,5,August 2013,G
MERCEDES-BENZ,"C-Class Saloon, Model Year 2013","C 63 AMG with 18"" & 19"" rear wheels",Automatic,A7,6208,Petrol,,,,,18.2,8.4,12.0,15.5,33.6,23.5,280,"£3,203.00",,"£3,203.00",74.0,302,28,34,,,5,August 2013,M
MERCEDES-BENZ,"C-Class Saloon, Model Year 2014","C 200 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.0,4.2,4.9,47.1,67.3,57.6,127,"£1,373.00",,"£1,373.00",74.0,268,,154,172,0.3,5,August 2013,D
MERCEDES-BENZ,"C-Class Saloon, Model Year 2014","C 200 CDI with 16"" rear wheels 205/55 Tyres ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.1,4.4,5.0,46.3,64.2,56.5,131,"£1,400.00",,"£1,400.00",70.0,68,,157,168,0.1,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2014","C 220 CDI with 18"" rear wheels ECO Start/Stop",Manual,M6,2143,Diesel,,,,,6.3,4.3,5.1,44.8,65.7,55.4,133,"£1,428.00",,"£1,428.00",72.0,165,,173,181,0.3,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2014","C 250 CDI with 17"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.2,4.3,5.0,45.6,65.7,56.5,131,"£1,400.00",,"£1,400.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"C-Class Saloon, Model Year 2014","C 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.5,5.2,44.1,62.8,54.3,136,"£1,457.00",,"£1,457.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"CL-Class, Model Year 2013","CL 500 with 19"" rear wheels",Automatic,A7,4663,Petrol,,,,,13.6,7.3,9.6,20.8,38.7,29.4,227,"£2,561.00",,"£2,561.00",74.0,404,53,35,,,5,August 2013,L
MERCEDES-BENZ,"CL-Class, Model Year 2013","CL 500 with 20"" rear wheels",Automatic,A7,4663,Petrol,,,,,13.9,7.6,9.9,20.3,37.2,28.5,232,"£2,641.00",,"£2,641.00",74.0,404,53,35,,,5,August 2013,L
MERCEDES-BENZ,"CL-Class, Model Year 2013","CL 63 AMG with 19"" & 20"" rear wheels",Automatic,A7,5461,Petrol,,,,,14.4,8.2,10.5,19.6,34.4,26.9,244,"£2,799.00",,"£2,799.00",74.0,225,31,37,,,5,August 2013,L
MERCEDES-BENZ,"CL-Class, Model Year 2014","CL 500 with 19"" rear wheels",Automatic,A7,4663,Petrol,,,,,13.6,7.3,9.6,20.8,38.7,29.4,227,"£2,561.00",,"£2,561.00",74.0,404,53,35,,,5,August 2013,L
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.3,4.7,5.3,44.8,60.1,53.3,140,"£1,484.00",,"£1,484.00",71.0,94,,148,160,0.2,5,August 2013,E
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 250 CDI with 19"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.8,5.4,44.1,58.9,52.3,143,"£1,512.00",,"£1,512.00",71.0,94,,148,160,0.2,5,August 2013,F
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 350 CDI with 18"" rear wheels",Automatic,A7,2987,Diesel,,,,,7.4,5.4,6.1,38.2,52.3,46.3,161,"£1,708.00",,"£1,708.00",71.0,359,,166,227,2.4,5,August 2013,G
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 350 CDI with 19"" rear wheels ECO Start/Stop",Automatic,A7,2987,Diesel,,,,,7.5,5.4,6.1,37.7,52.3,46.3,162,"£1,708.00",,"£1,708.00",71.0,359,,166,227,2.4,5,August 2013,G
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 500 with 18"" rear wheels",Automatic,A7,4663,Petrol,,,,,12.7,7.1,9.2,22.2,39.8,30.7,214,"£2,452.00",,"£2,452.00",72.0,297,36,33,,,5,August 2013,K
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 500 with 19"" rear wheels",Automatic,A7,4663,Petrol,,,,,12.8,7.2,9.3,22.1,39.2,30.4,216,"£2,476.00",,"£2,476.00",72.0,297,36,33,,,5,August 2013,K
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2013","CLS 63 AMG with 19"" rear wheels",Automatic,A7,5461,Petrol,,,,,14.0,7.8,10.1,20.2,36.2,28.0,235,"£2,689.00",,"£2,689.00",74.0,225,31,37,,,5,August 2013,L
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2014","CLS 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.3,4.7,5.3,44.8,60.1,53.3,140,"£1,484.00",,"£1,484.00",71.0,94,,148,160,0.2,5,August 2013,E
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2014","CLS 250 CDI with 19"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.8,5.4,44.1,58.9,52.3,143,"£1,512.00",,"£1,512.00",71.0,94,,148,160,0.2,5,August 2013,F
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2014","CLS 350 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2987,Diesel,,,,,7.4,5.4,6.1,38.2,52.3,46.3,161,"£1,708.00",,"£1,708.00",71.0,359,,166,227,2.4,5,August 2013,G
MERCEDES-BENZ,"CLS Shooting Brake, Model Year 2014","CLS 350 CDI with 19"" rear wheels ECO Start/Stop",Automatic,A7,2987,Diesel,,,,,7.5,5.4,6.1,37.7,52.3,46.3,162,"£1,708.00",,"£1,708.00",71.0,359,,166,227,2.4,5,August 2013,G
MERCEDES-BENZ,"CLS-Class, Model Year 2013","CLS 250 CDI with 18"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.4,4.4,5.2,44.1,64.2,54.3,135,"£1,457.00",,"£1,457.00",71.0,54,,146,156,0.2,5,August 2013,E
MERCEDES-BENZ,"CLS-Class, Model Year 2013","CLS 250 CDI with 19"" rear wheels ECO Start/Stop",Automatic,A7,2143,Diesel,,,,,6.5,4.5,5.3,43.5,62.8,53.3,138,"£1,484.00",,"£1,484.00",71.0,54,,146,156,0.2,5,August 2013,E
