Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
BMW,3 Series E90/E91/E92/E93,325i Touring,A6,2996,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,178,1642,68.0,134.9,64.3,38.1,,,
BMW,5 Series F10/F11,523i Saloon - from March 2010,A8,2996,Petrol,10.5,5.9,7.6,26.9,47.9,37.2,178,1642,69.0,99.5,47.2,47.5,,,
BMW,5 Series F10/F11,528i Saloon - from March 2010,A8,2996,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,178,1642,74.0,114.8,44.9,31.4,,,
BMW,7 Series F01/F02,730Ld Saloon - with particle filter ,A6,2993,Diesel,9.1,5.6,6.9,31.0,50.4,40.9,180,1507,72.0,247.5,,166.8,191.6,0.300,
BMW,7 Series F01/F02,740d Saloon - with particle filter,A6,2993,Diesel,9.0,5.7,6.9,31.4,49.6,40.9,181,1507,69.0,374.9,,150.4,186.1,0.220,
BMW,3 Series E90/E91/E92/E93,330i Convertible,M6,2996,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,182,1688,74.0,115.8,62.5,34.1,,,
BMW,5 Series F10/F11,528i Saloon - from March 2010,M6,2996,Petrol,10.4,6.3,7.8,27.2,44.8,36.2,182,1688,72.0,136.1,47.2,45.3,,,
BMW,3 Series E90/E91/E92/E93,330i Touring - up to February 2010,A6,2996,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,184,1707,74.0,156.2,61.8,29.6,,,
BMW,3 Series E90/E91/E92/E93,325i Convertible,A6,2996,Petrol,10.6,6.3,7.9,26.6,44.8,35.8,185,1707,68.0,134.9,64.3,38.1,,,
BMW,1 Series E81/E82/E87/E88,125i Coupé,M6,2996,Petrol,11.9,6.0,8.2,23.7,47.1,34.4,190,1776,73.0,290.1,29.7,25.4,,,
BMW,1 Series E81/E82/E87/E88,125i Coupé,A6,2996,Petrol,11.7,6.2,8.2,24.1,45.6,34.4,190,1776,74.0,143.7,30.8,37.1,,,
BMW,3 Series E90/E91/E92/E93,330i Convertible,A6,2996,Petrol,11.1,6.5,8.2,25.4,43.5,34.4,190,1776,74.0,156.2,61.8,29.6,,,
BMW,Z4 Series E89,Z4 sDrive23i Roadster,A6,2497,Petrol,11.8,6.1,8.2,23.9,46.3,34.4,192,1776,72.0,257.4,48.9,32.8,,,
BMW,X5 Series E70,X5 xDrive30d - with particle filter - from April 2010,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,1614,72.0,262.7,,150.8,178.5,0.460,
BMW,X6 Series E71,X6 xDrive30d - with particle filter - from April 2010,A8,2993,Diesel,8.7,6.7,7.4,32.5,42.2,38.2,195,1614,72.0,262.7,,150.8,178.5,0.460,
BMW,Z4 Series E89,Z4 sDrive30i Roadster,A6,2996,Petrol,11.9,6.2,8.3,23.7,45.6,34.0,195,1797,74.0,197.3,34.7,30.6,,,
BMW,1 Series E81/E82/E87/E88,125i Convertible,M6,2996,Petrol,12.1,6.2,8.4,23.3,45.6,33.6,195,1818,73.0,290.1,29.7,25.4,,,
BMW,1 Series E81/E82/E87/E88,125i Convertible,A6,2996,Petrol,11.9,6.4,8.4,23.7,44.1,33.6,195,1818,74.0,143.7,30.8,37.1,,,
BMW,5 Series F10/F11,535i Saloon - from March 2010,A8,2979,Petrol,11.9,6.4,8.4,23.7,44.1,33.6,195,1818,71.0,232.7,37.7,13.1,,,
BMW,3 Series E90/E91/E92/E93,335i Coupé - from March 2010,M6,2979,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,196,1818,74.0,298.5,61.4,15.4,,,
BMW,3 Series E90/E91/E92/E93,335i Coupé - from March 2010,A7,2979,Petrol,11.8,6.4,8.4,23.9,44.1,33.6,196,1818,72.0,510.8,41.1,14.9,,,
BMW,3 Series E90/E91/E92/E93,335i Saloon - from March 2010,M6,2979,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,196,1818,74.0,298.5,61.4,15.4,,,
BMW,X5 Series E70,X5 xDrive40d - with particle filter - from April 2010,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,1635,72.0,306.3,,164.7,185.8,0.090,
BMW,X6 Series E71,X6 xDrive40d - with particle filter - from April 2010,A8,2993,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,198,1635,72.0,306.3,,164.7,185.8,0.090,
BMW,1 Series E81/E82/E87/E88,135i Coupé - from March 2010,M6,2979,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,198,1840,74.0,293.4,67.7,39.9,,,
BMW,1 Series E81/E82/E87/E88,135i Coupé - from March 2010,A7,2979,Petrol,11.7,6.7,8.5,24.1,42.2,33.2,198,1840,74.0,477.5,44.0,30.2,,,
BMW,Z4 Series E89,Z4 sDrive23i Roadster,M6,2497,Petrol,12.4,6.2,8.5,22.8,45.6,33.2,199,1840,75.0,515.5,63.0,18.5,,,
BMW,Z4 Series E89,Z4 sDrive30i Roadster,M6,2996,Petrol,12.4,6.2,8.5,22.8,45.6,33.2,199,1840,75.0,471.6,44.2,14.7,,,
BMW,3 Series E90/E91/E92/E93,335i Touring - from March 2010,M6,2979,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,199,1840,74.0,298.5,61.4,15.4,,,
BMW,5 Series F10/F11,535i Saloon - from March 2010,M6,2979,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,199,1840,73.0,236.7,42.7,28.0,,,
BMW,1 Series E81/E82/E87/E88,135i Convertible - from March 2010,M6,2979,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,200,1863,74.0,293.4,67.7,39.9,,,
BMW,1 Series E81/E82/E87/E88,135i Convertible - from March 2010,A7,2979,Petrol,11.8,6.8,8.6,23.9,41.5,32.8,200,1863,74.0,477.5,44.0,30.2,,,
BMW,3 Series E90/E91/E92/E93,335i Saloon - from March 2010,A6,2979,Petrol,12.6,6.5,8.7,22.4,43.5,32.5,202,1880,74.0,425.0,54.9,10.2,,,
BMW,3 Series E90/E91/E92/E93,335i Touring - from March 2010,A6,2979,Petrol,12.6,6.5,8.7,22.4,43.5,32.5,203,1880,74.0,425.0,54.9,10.2,,,
BMW,3 Series E90/E91/E92/E93,335i Convertible - from March 2010,M6,2979,Petrol,12.4,6.7,8.8,22.8,42.2,32.1,205,1903,74.0,298.5,61.4,15.4,,,
BMW,3 Series E90/E91/E92/E93,335i Convertible - from March 2010,A7,2979,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,205,1903,72.0,510.8,41.1,14.9,,,
BMW,5 Series Gran Turismo F07,535i Gran Turismo,A8,2979,Petrol,12.3,6.9,8.9,23.0,40.9,31.7,209,1927,69.0,313.1,39.6,10.6,,,
BMW,Z4 Series E89,Z4 sDrive35i Roadster,A7,2979,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,210,1946,74.0,320.3,72.0,21.6,,,
BMW,Z4 Series E89,Z4 sDrive35is Roadster - from March 2010,A7,2979,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,210,1946,74.0,320.3,72.0,21.6,,,
BMW,Z4 Series E89,Z4 sDrive35i Roadster,M6,2979,Petrol,13.5,7.0,9.4,20.9,40.4,30.1,219,2030,73.0,323.0,62.6,10.6,,,
BMW,7 Series F01/F02,740i Saloon,A6,2979,Petrol,13.8,7.6,9.9,20.5,37.2,28.5,232,2144,69.0,366.1,62.1,9.0,,,
BMW,7 Series F01/F02,740Li Saloon,A6,2979,Petrol,14.0,7.7,10.0,20.2,36.7,28.2,235,2167,69.0,366.1,62.1,9.0,,,
BMW,X6 Series E71,X6 xDrive35i - from April 2010,A8,2979,Petrol,13.2,8.3,10.1,21.4,34.0,28.0,236,2182,71.0,510.5,57.5,17.1,,,
BMW,5 Series F10/F11,550i Saloon - from March 2010,A8,4395,Petrol,15.4,7.5,10.4,18.3,37.7,27.2,243,2246,72.0,559.7,49.0,21.9,,,
BMW,X6 Series E71,X6 xDrive35i - up to March 2010,A6,2979,Petrol,14.9,8.9,11.1,19.0,31.7,25.4,259,2405,72.0,142.4,51.8,13.8,,,
BMW,3 Series E90/E91/E92/E93,M3 Coupé - from March 2010,DCT7,3999,Petrol,15.9,8.5,11.2,17.8,33.2,25.2,263,2425,74.0,179.0,61.0,38.6,,,
BMW,3 Series E90/E91/E92/E93,M3 Saloon - from March 2010,DCT7,3999,Petrol,15.9,8.5,11.2,17.8,33.2,25.2,263,2425,74.0,179.0,61.0,38.6,,,
BMW,5 Series Gran Turismo F07,550i Gran Turismo,A8,4395,Petrol,16.2,8.3,11.2,17.4,34.0,25.2,263,2425,73.0,416.6,65.9,30.2,,,
BMW,7 Series F01/F02,750i Saloon,A6,4395,Petrol,16.4,8.5,11.4,17.2,33.2,24.8,266,2464,72.0,380.4,26.7,17.6,,,
BMW,7 Series F01/F02,750Li Saloon,A6,4395,Petrol,16.4,8.5,11.4,17.2,33.2,24.8,266,2464,72.0,380.4,26.7,17.6,,,
BMW,3 Series E90/E91/E92/E93,M3 Convertible - from March 2010,DCT7,3999,Petrol,16.0,8.9,11.5,17.7,31.7,24.6,269,2484,74.0,179.0,61.0,38.6,,,
BMW,3 Series E90/E91/E92/E93,M3 Coupé - from March 2010,M6,3999,Petrol,17.7,9.3,12.4,16.0,30.4,22.8,290,2680,75.0,356.9,50.9,30.1,,,
BMW,3 Series E90/E91/E92/E93,M3 Saloon - from March 2010,M6,3999,Petrol,17.7,9.3,12.4,16.0,30.4,22.8,290,2680,75.0,356.9,50.9,30.1,,,
BMW,X5 Series E70,X5 xDrive50i - from April 2010,A8,4395,Petrol,17.5,9.6,12.5,16.1,29.4,22.6,292,2703,74.0,365.4,39.7,17.8,,,
BMW,X6 Series E71,X6 xDrive50i - from April 2010,A8,4395,Petrol,17.5,9.6,12.5,16.1,29.4,22.6,292,2703,74.0,365.4,39.7,17.8,,,
BMW,3 Series E90/E91/E92/E93,M3 Convertible - from March 2010,M6,3999,Petrol,18.0,9.6,12.7,15.7,29.4,22.2,297,2752,75.0,356.9,50.9,30.1,,,
BMW,X6 Series E71,X6 xDrive50i - up to March 2010,A6,4395,Petrol,17.7,9.9,12.8,16.0,28.5,22.1,299,2765,73.0,434.9,60.0,31.8,,,
BMW,7 Series F01/F02,760Li Saloon,A8,5972,Petrol,18.9,9.6,13.0,14.9,29.4,21.7,303,2816,71.0,251.5,65.2,27.6,,,
BMW,X5 Series E70,X5 M ,A6,4395,Petrol,19.3,10.8,13.9,14.6,26.2,20.3,325,3010,73.0,417.0,40.1,23.5,,,
BMW,X6 Series E71,X6 M ,A6,4395,Petrol,19.3,10.8,13.9,14.6,26.2,20.3,325,3010,73.0,417.0,40.1,23.5,,,
CHEVROLET,Spark,1.0 5 Door Hatchback,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,68.5,591.0,36.0,13.0,,,
CHEVROLET,Spark,1.0+ 5 Door Hatchback,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,68.5,591.0,36.0,13.0,,,
CHEVROLET,Spark,1.0 LS 5 Door Hatchback,5MT,995,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,68.5,591.0,36.0,13.0,,,
CHEVROLET,Spark,1.2 LS 5 Door Hatchback,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,69.5,452.0,33.0,14.0,,,
CHEVROLET,Spark,1.2 LS+ 5 Door Hatchback,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,69.5,452.0,33.0,14.0,,,
CHEVROLET,Spark,1.2 LT 5 Door Hatchback,5MT,1206,Petrol,6.6,4.2,5.1,42.8,67.3,55.4,119,1103,69.5,452.0,33.0,14.0,,,
CHEVROLET,Cruze,1.6S 4 Door Saloon (with a/c),5MT,1598,Petrol,9.0,5.5,6.8,31.4,51.4,41.5,159,1472,71.8,387.0,39.0,13.0,,,
CHEVROLET,Cruze,1.6LS 4 Door Saloon (with a/c),5MT,1598,Petrol,9.0,5.5,6.8,31.4,51.4,41.5,159,1472,71.8,387.0,39.0,13.0,,,
CHEVROLET,Cruze,1.8LT 4 Door Saloon (with a/c),5MT,1796,Petrol,9.3,5.3,6.8,30.4,53.3,41.5,159,1472,72.5,597.0,36.0,18.0,,,
CHEVROLET,Cruze,1.6LS Auto 4 Door Saloon (with a/c),5AT,1598,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,184,1688,71.4,579.0,59.0,12.0,,,
CHEVROLET,Cruze,1.8LT Auto 4 Door Saloon (with a/c),5MT,1798,Petrol,11.3,5.8,7.8,25.0,48.7,36.2,184,1688,73.4,390.0,34.0,18.0,,,
CHRYSLER JEEP,Jeep Patriot,2.4 Manual,M5,2359,Petrol,10.9,7.0,8.5,25.9,40.4,33.2,196,1840,74.0,824.0,45.0,33.0,,,
CHRYSLER JEEP,Jeep Compass,2.4 Manual,M5,2359,Petrol,11.2,7.2,8.7,25.2,39.2,32.5,201,1880,74.0,824.0,45.0,33.0,,,
CHRYSLER JEEP,Jeep Compass,2.4 CVT,CVT,2359,Petrol,11.5,7.2,8.8,24.6,39.2,32.1,203,1903,74.0,660.0,36.0,11.0,,,
CHRYSLER JEEP,Jeep Patriot,2.4 CVT,CVT,2359,Petrol,11.6,7.6,9.1,24.4,37.2,31.0,210,1971,74.0,661.0,36.0,11.0,,,
CHRYSLER JEEP,Jeep Wrangler,3.8 Sahara & Rubicon 3.73 axle ratio (JK72),A4,3778,Petrol,16.9,9.0,11.9,16.7,31.4,23.7,276,2578,71.0,548.0,34.0,39.0,,,
CHRYSLER JEEP,Jeep Wrangler,3.8 Rubicon 4.1 axle ratio (JK72),A4,3778,Petrol,17.3,9.0,12.1,16.3,31.4,23.3,280,2622,71.0,548.0,34.0,8.0,,,
CHRYSLER JEEP,Jeep Wrangler,3.8 Rubicon 4.1 axle ratio (JK72),M6,3778,Petrol,17.3,9.2,12.2,16.3,30.7,23.2,283,2634,74.0,705.0,25.0,39.0,,,
CHRYSLER JEEP,Jeep Wrangler,3.8 Rubicon 4.1 axle ratio (JK74),M6,3778,Petrol,17.4,9.5,12.4,16.2,29.7,22.8,287,2680,74.0,705.0,25.0,39.0,,,
CHRYSLER JEEP,Jeep Wrangler,3.8 Rubicon 4.1 axle ratio (JK74),A4,3778,Petrol,17.5,9.4,12.4,16.1,30.1,22.8,288,2680,71.0,548.0,34.0,39.0,,,
CITROËN,New C3,1.6HDi 90hp Airdream+,M5,1560,Diesel,4.7,3.3,3.8,60.1,85.6,74.3,99,830,72.2,490.0,,154.0,210.0,1.200,
CITROËN,DS3,1.6HDi 90hp with energy saving tyres,M5,1560,Diesel,4.7,3.3,3.8,60.1,85.6,74.3,99,830,72.2,490.0,,154.0,210.0,1.200,
CITROËN,DS3,1.6HDi 90hp,M5,1560,Diesel,4.9,3.4,4.0,57.6,83.1,70.6,104,873,71.4,410.0,,166.0,201.0,0.500,
CITROËN,New C3,1.6HDi 110hp,M6,1560,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,960,70.9,338.0,,146.0,181.0,1.500,
CITROËN,DS3,1.6HDi 110hp,M6,1560,Diesel,5.6,3.9,4.5,50.4,72.4,62.8,118,982,72.9,338.0,,146.0,181.0,1.500,
CITROËN,New C3,1.4i VTi 95hp with energy saving tyres,M5,1397,Petrol,7.6,4.8,5.8,37.2,58.8,48.7,134,1255,73.3,305.0,55.0,32.0,,,
CITROËN,DS3,1.4 VTi 95hp,M5,1397,Petrol,7.6,4.8,5.8,37.2,58.9,48.7,134,1255,72.2,306.0,55.0,32.0,,,
CITROËN,New C3,1.4i VTi 95hp,M5,1397,Petrol,7.7,4.9,5.9,36.7,57.6,47.9,136,1276,73.3,305.0,55.0,32.0,,,
CITROËN,New C3,1.6i VTi 120hp,M5,1598,Petrol,7.9,4.8,5.9,35.8,58.8,47.9,136,1276,73.5,242.0,45.0,49.0,,,
CITROËN,DS3,1.6 VTi 120hp,M5,1598,Petrol,7.9,4.8,5.9,35.8,58.9,47.9,136,1276,73.5,242.0,44.0,49.0,,,
CITROËN,New C3,1.1i 61hp,M5,1124,Petrol,8.0,4.9,6.0,35.3,57.6,47.1,137,1297,73.9,447.0,71.0,15.0,,,
CITROËN,C4,2.0HDi 140hp,M6,1997,Diesel,7.1,4.3,5.3,39.8,65.7,53.3,139,1157,74.1,193.0,,166.0,186.0,1.000,
CITROËN,New C3,1.4i 75hp,M5,1360,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,140,1320,73.8,412.0,59.0,35.0,,,
CITROËN,C5,2.0HDi 160hp,M6,1997,Diesel,7.0,4.8,5.6,40.3,58.8,50.4,147,1223,72.7,314.0,,157.0,189.0,0.800,
CITROËN,C5,2.0HDi 160hp Tourer,M6,1997,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,149,1243,72.7,314.0,,157.0,189.0,0.800,
CITROËN,C5,2.0HDi 140hp,M6,1997,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,153,1266,71.1,270.0,,169.0,199.0,1.000,
CITROËN,C5,2.0HDi 140hp Tourer,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,155,1287,71.1,270.0,,169.0,199.0,1.000,
CITROËN,DS3,1.6 THP 150hp,M6,1598,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,155,1448,70.8,256.0,20.0,18.0,,,
CITROËN,New C3,1.6i VTi 120hp auto,A4,1598,Petrol,9.6,5.3,6.9,29.4,53.3,40.9,158,1494,72.4,336.0,49.0,26.0,,,
CITROËN,C3 Picasso,1.6 VTi 120hp,M5,1598,Petrol,9.4,5.5,6.9,30.1,51.4,40.9,159,1494,73.2,466.0,71.0,31.0,,,
CITROËN,C5,1.6i THP,M6,1598,Petrol,9.8,5.5,7.1,28.8,51.4,39.8,167,1535,71.4,931.2,35.6,43.6,,,
CITROËN,C5,2.0HDi 160hp,A6,1997,Diesel,8.9,5.6,6.8,31.7,50.4,41.5,179,1485,71.1,213.0,,138.0,157.0,2.500,
CITROËN,C5,2.0HDi 160hp Tourer,A6,1997,Diesel,9.0,5.7,6.9,31.4,49.6,40.9,179,1507,71.1,213.0,,138.0,157.0,2.500,
CITROËN,C5,3.0HDi auto,A6,2992,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,195,1614,70.7,222.0,,129.0,159.0,0.200,
CITROËN,C5,3.0HDi Tourer auto,A6,2992,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,195,1614,70.7,222.0,,129.0,159.0,0.200,
CITROËN,C6,3.0HDi V6,A6,2992,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,195,1614,72.8,423.0,,154.0,203.0,0.200,
FERRARI,California,California,M7,4297,Petrol,19.4,9.4,13.1,14.6,30.0,21.5,299,2842,73.6,377.0,48.0,34.0,,,
FIAT,500 and 500C,1.3 16v MultiJet 95,M5,1248,Diesel,5.0,3.3,3.9,56.5,85.6,72.4,104,851,70.0,408.0,,160.0,206.0,1.000,
FIAT,Punto Evo,1.3 16v MultiJet 95 Dualogic,SAT6,1248,Diesel,5.0,3.5,4.1,56.5,80.7,68.9,107,895,72.0,238.0,,172.0,201.0,1.000,
FIAT,Punto Evo,1.3 16v MultiJet 75,M5,1248,Diesel,5.2,3.5,4.1,54.3,80.7,68.9,108,895,73.0,379.0,,165.0,216.0,1.000,
FIAT,500 and 500C,1.3 16v MultiJet 75,M5,1248,Diesel,5.3,3.6,4.2,53.3,78.5,67.3,110,916,71.5,351.0,,139.0,173.0,1.000,
FIAT,Punto Evo,1.3 16v MultiJet 95,M5,1248,Diesel,5.3,3.5,4.2,53.3,80.7,67.3,110,916,72.5,412.0,,162.0,214.0,1.000,
FIAT,500 and 500C,1.2 Dualogic Start and Stop,SAT5,1242,Petrol,5.6,4.1,4.7,50.4,68.9,60.1,110,1017,73.0,276.0,43.0,13.0,,,
FIAT,500 and 500C,1.2 Start and Stop,M5,1242,Petrol,5.7,4.3,4.8,49.6,65.7,58.9,113,1037,73.5,351.0,42.0,32.0,,,
FIAT,500 and 500C,1.2 Dualogic,SAT5,1242,Petrol,6.2,4.3,5.0,45.6,65.7,56.5,118,1081,73.5,346.0,42.0,12.0,,,
FIAT,500 and 500C,1.2,M5,1242,Petrol,6.4,4.3,5.1,44.1,65.7,55.4,119,1103,73.5,277.0,40.0,14.0,,,
FIAT,Bravo,1.6 16v MultiJet 120 Dualogic,SAT6,1598,Diesel,5.9,3.8,4.6,47.9,74.3,61.4,120,1004,72.0,339.0,,169.0,197.0,2.000,
FIAT,Punto Evo,1.4 8v Dualogic,SAT5,1368,Petrol,6.7,4.6,5.4,42.2,61.4,52.3,124,1168,72.0,405.0,40.0,13.0,,,
FIAT,Bravo,1.6 16v MultiJet 120,M6,1598,Diesel,6.1,4.0,4.8,46.3,70.6,58.9,125,1047,72.0,432.0,,168.0,202.0,1.000,
FIAT,Punto Evo,1.4 16v MultiAir Turbo 135,M5,1368,Petrol,7.3,4.6,5.6,38.7,61.4,50.4,129,1212,72.0,555.0,48.0,27.0,,,
FIAT,500 and 500C,1.4 16v Dualogic Start and Stop,SAT5,1368,Petrol,6.7,5.0,5.6,42.2,56.5,50.4,130,1212,73.0,424.0,44.0,16.0,,,
FIAT,Punto Evo,1.4 8v,M5,1368,Petrol,7.4,4.7,5.7,38.2,60.1,49.6,132,1232,72.0,474.0,38.0,34.0,,,
FIAT,Punto Evo,1.4 16v MultiAir 105,M6,1368,Petrol,7.5,4.7,5.7,37.7,60.1,49.6,134,1232,73.0,395.0,42.0,18.0,,,
FIAT,500 and 500C,1.4 16v Dualogic,SAT5,1368,Petrol,7.1,5.0,5.8,39.8,56.5,48.7,135,1255,73.0,469.0,45.0,6.0,,,
FIAT,500 and 500C,1.4 16v Start and Stop,M6,1368,Petrol,7.2,5.0,5.8,39.2,56.5,48.7,135,1255,72.5,424.0,44.0,16.0,,,
FIAT,New Doblo,1.6 MultiJet,M6,1598,Diesel,6.1,4.7,5.2,46.3,60.1,54.3,138,1135,71.5,290.0,,156.0,211.0,1.000,
FIAT,Bravo,2.0 16v MultiJet 165,M6,1956,Diesel,6.9,4.3,5.3,40.9,65.7,53.3,139,1157,73.0,291.0,,147.0,173.0,2.000,
FIAT,500 and 500C,1.4 16v,M6,1368,Petrol,7.7,5.1,6.1,36.7,55.4,46.3,140,1320,72.5,333.0,44.0,11.0,,,
FIAT,Sedici (Series 2),2.0 MultiJet 4x4,M6,1956,Diesel,7.0,4.6,5.5,40.4,61.4,51.4,143,1199,72.0,234.3,,156.5,188.7,3.150,
FIAT,Sedici (Series 2),1.6 4x2,M5,1586,Petrol,7.9,5.2,6.2,35.8,54.3,45.6,143,1340,72.0,419.0,53.9,5.3,,,
FIAT,New Doblo from March 2010,1.6 MultiJet High Roof,M6,1598,Diesel,6.3,5.2,5.6,44.8,54.3,50.4,148,1223,71.5,173.0,,200.0,205.0,1.280,
FIAT,Sedici (Series 2),1.6 4x4,M5,1586,Petrol,8.2,5.5,6.5,34.4,51.4,43.5,149,1405,72.0,294.7,48.4,4.7,,,
FIAT,New Doblo,2.0 MultiJet,M6,1956,Diesel,6.7,5.1,5.7,42.2,55.4,49.6,150,1243,74.5,225.0,,177.0,211.0,1.000,
FIAT,New Doblo from March 2010,2.0 MultiJet High Roof,M6,1956,Diesel,6.8,5.5,6.0,41.5,51.4,47.1,157,1309,74.5,180.0,,171.0,215.0,1.510,
FIAT,New Doblo,1.4,M5,1368,Petrol,9.3,5.9,7.2,30.4,47.9,39.2,166,1559,72.0,593.0,38.0,30.0,,,
FIAT,New Doblo from March 2010,1.4 High Roof,M5,1368,Petrol,9.5,6.1,7.4,29.7,46.3,38.2,171,1599,72.0,555.0,47.0,29.0,,,
FORD,Fiesta Model Year - Post 2010¼,1.6 Duratorq (95ps) (+DPF) (ECO),M5,1560,Diesel,4.6,3.2,3.7,61.4,88.3,76.3,98,808,69.0,361.0,,155.0,185.0,1.000,
FORD,Fiesta Model Year - Post 2010¼,1.6 Duratorq (95ps) (+DPF),M5,1560,Diesel,4.9,3.6,4.1,57.6,78.5,68.9,107,895,70.0,296.0, ,168.0,194.0,1.000,
FORD,Focus Model Year - Post 2010¼,1.6 Duratorq TDCi (90ps) 5 Door Saloon,M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,960,69.0,346.8,,132.0,151.9,0.490,
FORD,Focus Model Year - Post 2010¼,1.6 Duratorq TDCi (90ps) Estate,M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,960,69.0,346.8,,132.0,151.9,0.490,
FORD,Focus Model Year - Post 2010¼,1.6 Duratorq TDCi (109ps) 3/5 Door Saloon (+DPF),M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,960,70.0,346.8, ,132.0,151.9,0.490,
FORD,Focus Model Year - Post 2010¼,1.6 Duratorq TDCi (109ps) Estate (+DPF),M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,960,70.0,346.8,,132.0,151.9,0.490,
FORD,Focus Model Year - Pre 2010¼,1.6 Duratorq TDCi (90ps) 5 Door Saloon,M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,982,69.0,453.0,,132.0,152.0,0.500,
FORD,Focus Model Year - Pre 2010¼,1.6 Duratorq TDCi (90ps) Estate,M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,982,69.0,453.0,,132.0,152.0,0.500,
FORD,Focus Model Year - Pre 2010¼,1.6 Duratorq TDCi (109ps) Estate (+DPF),M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,982,70.0,453.0,,132.0,152.0,0.500,
FORD,Fiesta Model Year - Pre 2010¼,1.25 Duratec (60ps),M5,1242,Petrol,7.3,4.4,5.5,38.7,64.2,51.4,127,1189,71.0,519.0,51.0,28.0,,,
FORD,Fiesta Model Year - Post 2010¼,1.25 Duratec (60ps),M5,1242,Petrol,7.3,4.4,5.5,38.7,64.2,51.4,127,1189,71.0,519.0,51.0,28.0,,,
FORD,Fiesta Model Year - Post 2010¼,1.25 Duratec (82ps),M5,1242,Petrol,7.4,4.5,5.6,38.2,62.8,50.4,129,1212,72.0,342.0,52.0,24.0,,,
FORD,Fiesta Model Year - Pre 2010¼,1.25 Duratec (82ps),M5,1242,Petrol,7.5,4.7,5.7,37.7,60.1,49.6,133,1232,72.0,342.0,52.0,24.0,,,
FORD,Fiesta Model Year - Post 2010¼,1.4 Duratec (96ps),M5,1388,Petrol,7.6,4.7,5.8,37.2,60.1,48.7,133,1255,71.0,276.0,67.0,49.0,,,
FORD,Fiesta Model Year - Post 2010¼,1.6 Duratec (120ps),M5,1596,Petrol,7.9,4.6,5.8,35.8,61.4,48.7,134,1255,72.0,518.0,51.0,23.0,,,
FORD,Mondeo Model Year - Post 2010½ ,2.0 Duratorq (115ps) Saloon,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1157,70.0,352.0,,161.0,201.0,0.900,
FORD,Mondeo Model Year - Post 2010½ ,2.0 Duratorq (115ps) Estate,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1157,70.0,352.0,,161.0,201.0,0.900,
FORD,Mondeo Model Year - Post 2010½ ,2.0 Duratorq (140ps) Saloon,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1157,70.0,352.0,,161.0,201.0,0.900,
