Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI Quattro (130 PS),QM6,1896,Diesel,8.0,5.1,6.2,35.3,55.4,45.6,167,449,III,73.0,0.2,0.5,,0.4,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.9 TDI Quattro (130 PS),QM6,1896,Diesel,8.1,5.2,6.3,34.9,54.3,44.8,170,457,III,73.0,0.2,0.5,,0.4,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 TDI (163 PS),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 TDI (163 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,74.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.9 TDI (130 PS),M6,1896,Diesel,7.7,4.8,5.8,36.7,58.9,48.7,157,420,III,73.0,0.3,0.4,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 TDI V6 Quattro Tiptronic (180 PS),QA5,2496,Diesel,12.8,6.6,8.8,22.1,43.5,32.1,238,637,III,73.0,0.0,0.4,,0.4,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.9 TDI Multitronic (130 PS),AV,1896,Diesel,7.6,4.8,5.7,37.2,58.9,49.6,152,412,III,71.0,0.3,0.4,,0.4,0.0,22 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 V6 TDI Multitronic (155 PS) ,AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,30 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 V6 TDI (155 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,74.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.9 TDI (130 PS),M5,1896,Diesel,7.6,4.6,5.7,37.2,61.4,49.6,154,412,III,73.0,0.1,0.4,0.0,0.4,0.0,20 March 2003,
