Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
CITROEN,Xsara,Xsara 1.8i 16v VTR,M5,1761,Petrol,12.1,6.5,8.5,23.3,43.5,33.2,198,616,II,71.1,0.482,0.142,,,
CITROEN,Xsara,Xsara 2.0i 16v VTS,M5,1998,Petrol,13.6,7.1,9.4,20.8,39.8,30.1,224,680,II,73.7,0.708,0.281,,,
CITROEN,Xsara,Xsara 1.9D,M5,1868,Diesel,8.3,5.0,6.2,34.0,56.5,45.6,164,467,II,73.2,0.251,0.572,,,0.044
CITROEN,Xsara,Xsara 1.9D Estate,M5,1868,Diesel,8.3,5.0,6.2,34.0,56.5,45.6,164,467,II,73.2,0.251,0.572,,,0.044
CITROEN,Xsara,Xsara 2.0 HDi 90 hp Estate,M5,1997,Diesel,6.9,4.3,5.2,40.9,65.7,54.3,141,392,II,71.3,0.584,0.488,,,0.053
CITROEN,Xsara,Xsara 2.0 HDi 90 hp,M5,1997,Diesel,6.9,4.3,5.2,40.9,65.7,54.3,141,392,II,71.3,0.584,0.488,,,0.053
CITROEN,Xsara Picasso,Picasso 1.6i (VIN Code CHNFZA),M5,1587,Petrol,10.2,6.2,7.7,27.7,45.6,36.7,187,557,II,73.0,1.117,0.402,,,
CITROEN,Xsara Picasso,Picasso 1.8i 16v,M5,1749,Petrol,10.8,5.9,7.7,26.2,47.9,36.7,187,557,II,74.0,0.173,0.182,,,
CITROEN,Xsara Picasso,Picasso 2.0 HDi ( VIN Code CHRHYA),M5,1997,Diesel,7.0,4.6,5.5,40.4,61.4,51.4,147,414,II,72.0,0.339,0.580,,,0.032
CITROEN,Synergie,Synergie 2.0i,M5,1998,Petrol,13.8,8.1,10.2,20.5,34.9,27.7,252,739,II,73.6,0.833,0.443,,,
