Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro Tiptronic (170 PS),QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25.0,271,786,IV,73.0,0.2,,0.0,0.0,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),4.2 V8 Sport & Quattro (300 PS),QA5,4172,Petrol,19.5,9.5,13.1,14.6,29.7,21.6,314,909,IV,74.0,0.4,,0.1,0.0,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),3.0 V6 Quattro (220 PS),QM6,2976,Petrol,16.1,8.7,11.4,17.5,32.5,24.8,274,792,IV,74.0,0.5,,0.0,0.0,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),3.0 V6 Quattro Tiptronic (220 PS),QA5,2976,Petrol,16.6,8.4,11.4,17.0,33.6,24.8,274,792,IV,73.0,0.3,,0.0,0.0,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.7 V6 Turbo Quattro (250 PS),QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,IV,73.0,0.8,,0.1,0.0,,20 March 2003,
AUDI,A6 Saloon  (SE &amp; Sport),2.7 V6 Turbo Quattro Tiptronic (250 PS),QA5,2671,Petrol,18.2,8.9,12.3,15.5,31.7,23.0,295,854,IV,73.0,0.9,,0.0,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.0 (130 PS),M5,1984,Petrol,12.1,6.8,8.7,23.3,41.5,32.5,209,604,IV,74.0,0.6,,0.1,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v (150 PS),M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,599,IV,72.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v Multitronic (150 PS),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,604,IV,72.0,0.5,,0.1,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v Quattro (150 PS),QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,668,IV,74.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.0 (130 PS) up to December 2002,M5,1984,Petrol,12.1,6.6,8.5,23.3,42.8,33.2,204,592,IV,74.0,0.6,,0.1,0.0,,23 May 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.0 Multitronic (130 PS),AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,592,IV,74.0,0.5,,0.1,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 (170 PS),M5,2393,Petrol,14.2,7.7,10.1,19.9,36.7,28.0,242,701,IV,72.0,0.2,,0.0,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Multitronic (170 PS),AV,2393,Petrol,14.4,7.2,9.8,19.6,39.2,28.8,235,682,IV,73.0,0.3,,0.1,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Quattro (170 PS),QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,764,IV,73.0,0.3,,0.0,0.0,,20 March 2003,
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Quattro Tiptronic (170 PS),QA5,2393,Petrol,16.5,8.3,11.4,17.1,34.0,24.8,274,792,IV,73.0,0.2,,0.0,0.0,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),4.2 V8 Sport & Quattro (300 PS),QA5,4172,Petrol,19.5,9.6,13.2,14.5,29.4,21.4,317,918,IV,74.0,0.4,,0.1,0.0,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),3.0 V6 Quattro (220 PS),QM6,2976,Petrol,16.1,8.7,11.4,17.5,32.5,24.8,274,792,IV,74.0,0.5,,0.0,0.0,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),3.0 V6 Quattro Tiptronic (220 PS),QA5,2976,Petrol,16.8,8.5,11.5,16.8,33.2,24.6,276,798,IV,73.0,0.3,,0.0,0.0,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.7 V6 Turbo Quattro (250 PS),QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,IV,73.0,0.8,,0.1,0.0,,20 March 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.7 V6 Turbo Quattro Tiptronic (250 PS),QA5,2671,Petrol,18.3,9.0,12.4,15.4,31.4,22.8,298,861,IV,73.0,0.9,,0.0,0.0,,20 March 2003,
AUDI,Audi A8 (Standard & Sport)(until 10/02),2.8 V6 Quattro Tiptronic (194 PS),QA5,2772,Petrol,17.6,8.6,11.9,16.1,32.8,23.7,286,829,IV,72.0,0.3,,0.1,0.0,,20 March 2003,
AUDI,Audi A8 (Standard & Sport)(until 10/02),3.7 V8 Quattro Tiptronic (260 PS),QA5,3697,Petrol,18.4,9.0,12.4,15.4,31.4,22.8,298,861,IV,73.0,0.7,,0.1,0.0,,20 March 2003,
AUDI,Audi A8 (Standard & Sport)(until 10/02),4.2 V8 Quattro (310 PS),QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,909,IV,74.0,0.4,,0.1,0.1,,20 March 2003,
AUDI,Audi A8 (Standard & Sport)(until 10/02),4.2 V8 Quattro Tiptronic (LWB) (310 PS),QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,909,IV,74.0,0.4,,0.1,0.1,,20 March 2003,
AUDI,A8 ,4.2 Quattro 6 Speed Tiptronic,QA6,4172,Petrol,17.6,8.8,12.0,16.1,32.1,23.5,288,836,IV,73.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,A8 ,3.7 Quattro 6 Speed Tiptronic,QA6,3697,Petrol,17.3,8.8,11.9,16.3,32.1,23.7,286,829,IV,73.0,0.7,,0.1,0.0,,20 March 2003,
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro (250 PS)(Low & High Ratio Transmission),QM6,2671,Petrol,18.1,9.9,12.9,15.6,28.5,21.9,310,897,IV,73.0,0.3,,0.0,0.1,,20 March 2003,
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro Tiptronic (250 PS),QA5,2671,Petrol,19.3,9.8,13.3,14.6,28.8,21.2,319,926,IV,70.0,0.3,,0.1,0.0,,20 March 2003,
AUDI,Audi 'S' Series,S4 4.2 V8 Quattro Saloon (344 PS),QM6,4163,Petrol,19.6,9.8,13.4,14.4,28.8,21.1,322,931,IV,74.0,0.4,,0.0,0.0,,22 May 2003,
AUDI,Audi 'S' Series,S4 4.2 V8 Quattro Avant (344 PS),QM6,4163,Petrol,19.7,9.9,13.5,14.3,28.5,20.9,324,940,IV,74.0,0.4,,0.0,0.0,,22 May 2003,
AUDI,Audi TT (Roadster),1.8 (150 PS),M5,1781,Petrol,11.0,6.5,8.3,25.0,43.5,34.0,199,578,IV,71.0,0.6,,0.0,0.0,,20 March 2003,
AUDI,Audi Cabriolet,2.4 V6 (170 PS),M5,2393,Petrol,13.9,7.5,9.8,20.3,37.7,28.8,235,682,IV,72.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,Audi Cabriolet,2.4 V6 Multitronic (170 PS) ,AV,2393,Petrol,13.7,7.5,9.7,20.6,37.7,29.1,233,675,IV,71.0,0.3,,0.1,0.0,,20 March 2003,
AUDI,Audi Cabriolet,3.0 V6 (220 PS) ,M5,2976,Petrol,14.0,7.5,9.8,20.2,37.7,28.8,235,682,IV,71.0,0.1,,0.0,0.0,,20 March 2003,
AUDI,Audi Cabriolet,3.0 V6 Multitronic (220 PS) ,AV,2976,Petrol,13.9,7.4,9.8,20.3,38.2,28.8,235,682,IV,72.0,0.4,,0.1,0.0,,20 March 2003,
BENTLEY MOTORS LTD,Bentley,Arnage T,A4,6761,Petrol,30.7,14.8,20.6,9.2,19.1,13.7,495,1433,IV,73.0,,,,,,15 May 2003,
BENTLEY MOTORS LTD,Bentley,Arnage R,A4,6761,Petrol,30.7,14.8,20.6,9.2,19.1,13.7,495,1433,IV,73.0,,,,,,15 May 2003,
BENTLEY MOTORS LTD,Bentley,Arnage RL,A4,6761,Petrol,30.7,14.8,20.6,9.2,19.1,13.7,495,1433,IV,73.0,,,,,,15 May 2003,
DAIHATSU,YRV,M201 1.3 L EFi (From VIN 512165),M5,1298,Petrol,7.8,5.1,6.1,36.2,55.4,46.3,145,424,IV,70.4,0.5,0.1,0.0,0.0,,27 March 2003,
DAIHATSU,Charade,L251 1.0 EFi,M5,989,Petrol,6.0,4.1,4.8,47.1,68.9,58.9,114,333,IV,70.2,0.4,0.1,0.0,0.0,,08 April 2003,
