,,,,,,Fuel Consumption and CO2 Emissions,,,,,,,,"Other Type Approval Emissions Data                                        (read ""How to use the list""                                                      before comparing models).",,,,,,
,,,,,,,Metric l/100km,,,Imperial mpg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Manufacturer/Model,Model,Description,Trans-mission,Engine Capacity cc,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Comb-ined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Comb-ined,CO2 g/km,Fuel Cost   of driving 12000 Miles (£'s),Noise Level dB(A) (moving),Emissions CO    (g/km),Emissions HC    (g/km),Emissions  NOx        (g/km),Emissions    HC+NOx          (g/km),Emissions        Particles              (g/km),
BMW,Z4 Series E85,Z4 2.5i Roadster ,A5,2494,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,1469,72.0,0.180,0.080,0.024,,
BMW,Z4 Series E85,Z4 3.0i Roadster ,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,1408,72.0,0.270,0.056,0.020,,
BMW,Z4 Series E85,Z4 3.0i Roadster - SMG ,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,1408,72.0,0.270,0.056,0.020,,
BMW,Z4 Series E85,Z4 3.0i Roadster ,A5,2979,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,1469,72.0,0.503,0.082,0.016,,
BMW,3 Series E46,316 ti Compact ,M5,1796,Petrol,9.8,5.4,7.0,28.8,52.3,40.4,170,1080,73.0,0.973,0.146,0.064,,
BMW,3 Series E46,316 ti Compact ,A5,1796,Petrol,10.6,6.2,7.8,26.6,45.6,36.2,190,1206,72.0,1.167,0.127,0.050,,
BMW,3 Series E46,318 ti Compact ,M5,1995,Petrol,10.4,5.7,7.4,27.2,49.6,38.2,180,1142,73.0,1.195,0.112,0.052,,
BMW,3 Series E46,318 ti Compact ,A5,1995,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,194,1236,74.0,1.000,0.134,0.042,,
BMW,3 Series E46,320 td Compact ,A5,1995,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,185,1120,73.0,0.185,,0.375,0.406,0.030
BMW,3 Series E46,325 ti Compact ,M6,2494,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,215,1377,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 ti Compact - SMG ,M6,2494,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,215,1377,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 ti Compact ,A5,2494,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,227,1469,71.0,0.255,0.086,0.013,,
BMW,3 Series E46,318 Ci Coupé - up to February 2005,M5,1995,Petrol,10.4,5.7,7.4,27.2,49.6,38.2,180,1142,73.0,1.195,0.112,0.052,,
BMW,3 Series E46,318 Ci Coupé - up to February 2005,A5,1995,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,196,1250,74.0,1.000,0.134,0.042,,
BMW,3 Series E46,320 Ci Coupé - up to February 2005 ,M5,2171,Petrol,12.2,6.9,8.9,23.2,40.9,31.7,213,1377,74.0,0.765,0.097,0.015,,
BMW,3 Series E46,320 Ci Coupé - up to February 2005 ,A5,2171,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,226,1450,73.0,0.498,0.105,0.014,,
BMW,3 Series E46,320 Cd Coupé ,A5,1995,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,185,1120,72.0,0.185,,0.375,0.406,0.030
BMW,3 Series E46,325 Ci Coupé - up to February 2005 ,M5,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,1390,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 Ci Coupé - SMG - up to February 2005 ,M6,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,1390,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 Ci Coupé - up to February 2005,A5,2494,Petrol,13.5,7.2,9.5,20.9,39.2,29.7,229,1469,72.0,0.255,0.086,0.013,,
BMW,3 Series E46,330 Ci Coupé - up to February 2005 ,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,1408,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330 Ci Coupé - SMG - up to February 2005 ,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,1408,74.0,0.269,0.048,0.009,,
BMW,3 Series E46,330 Ci Coupé - up to February 2005 ,A5,2979,Petrol,14.0,7.0,9.6,20.2,40.4,29.4,230,1484,74.0,0.447,0.062,0.013,,
BMW,3 Series E46,330 Cd Coupé ,A5,2993,Diesel,10.6,6.1,7.7,26.6,46.3,36.7,206,1249,73.0,0.088,,0.392,0.419,0.035
BMW,3 Series E46,M3 Coupé - up to February 2005 ,M6,3246,Petrol,17.8,8.4,11.9,15.9,33.6,23.7,287,1841,75.0,0.779,0.125,0.031,,
BMW,3 Series E46,M3 Coupé-SMG - up to February 2005 ,M6,3246,Petrol,17.8,8.4,11.9,15.9,33.6,23.7,287,1841,75.0,0.779,0.125,0.031,,
BMW,3 Series E46,318 Ci Convertible - up to February 2005 ,M5,1995,Petrol,10.8,6.1,7.8,26.2,46.3,36.2,190,1206,73.0,1.195,0.112,0.052,,
BMW,3 Series E46,318 Ci Convertible - up to February 2005 ,A5,1995,Petrol,11.6,6.6,8.4,24.4,42.8,33.6,203,1299,74.0,1.000,0.134,0.042,,
BMW,3 Series E46,320 Ci Convertible - up to February 2005 ,M5,2171,Petrol,12.8,7.4,9.4,22.1,38.2,30.1,225,1450,74.0,0.765,0.097,0.015,,
BMW,3 Series E46,320 Ci Convertible - up to February 2005 ,A5,2171,Petrol,13.5,7.7,9.8,20.9,36.7,28.8,236,1515,73.0,0.498,0.105,0.014,,
BMW,3 Series E46,325 Ci Convertible - up to February 2005 ,M5,2494,Petrol,13.2,7.5,9.6,21.4,37.7,29.4,230,1484,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 Ci Convertible - SMG - up to February 2005 ,M6,2494,Petrol,13.2,7.5,9.6,21.4,37.7,29.4,230,1484,73.0,0.494,0.079,0.017,,
BMW,3 Series E46,325 Ci Convertible - up to February 2005 ,A5,2494,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,239,1531,72.0,0.255,0.086,0.013,,
BMW,3 Series E46,330 Ci Convertible - up to February 2005 ,M6,2979,Petrol,13.4,7.3,9.6,21.1,38.7,29.4,229,1484,74.0,0.269,0.048,0.009,,
