Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.8 V6 Quattro (194 bhp),,QM5,2771,Petrol,15.5,8.3,10.9,18.2,34.0,25.9,262,790,IV,72.0,0.332,,0.042,0.032
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.8 V6 Quattro (194 bhp),,QA5,2771,Petrol,16.9,8.7,11.7,16.7,32.5,24.1,281,849,IV,72.0,0.235,,0.042,0.036
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",4.2 V8 Sport & Quattro (300 bhp),,QA5,4172,Petrol,19.5,9.6,13.2,14.5,29.4,21.4,317,956,IV,74.0,0.419,,0.058,0.038
AUDI,A6 Avant (Available From July 2001),1.8T 20v (150 bhp),,M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,624,IV,72.0,0.350,,0.032,0.037
AUDI,A6 Avant (Available From July 2001),1.8T 20v Multitronic (150 bhp),,AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,629,IV,72.0,0.496,,0.053,0.040
AUDI,A6 Avant (Available From July 2001),1.8T 20v Quattro (150 bhp),,QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,696,IV,74.0,0.420,,0.042,0.040
AUDI,A6 Avant (Available From July 2001),2.0 (130 bhp),,M5,1984,Petrol,12.1,6.6,8.5,23.3,42.8,33.2,204,616,IV,74.0,0.560,,0.073,0.036
AUDI,A6 Avant (Available From July 2001),2.0 Multitronic (130 bhp),,AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,616,IV,74.0,0.462,,0.080,0.035
AUDI,A6 Avant (Available From July 2001),2.4 V6 (170 bhp),,M5,2393,Petrol,14.2,7.7,10.1,19.9,36.7,28.0,242,731,IV,72.0,0.229,,0.047,0.036
AUDI,A6 Avant (Available From July 2001),2.4 V6 Multitronic (170 bhp),,AV,2393,Petrol,14.4,7.2,9.8,19.6,39.2,28.8,235,710,IV,73.0,0.274,,0.050,0.035
AUDI,A6 Avant (Available From July 2001),2.4 V6 Quattro (170 bhp),,QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,796,IV,73.0,0.257,,0.044,0.026
AUDI,A6 Avant (Available From July 2001),2.4 V6 Quattro (170 bhp),,QA5,2393,Petrol,16.5,8.3,11.4,17.1,34.0,24.8,274,825,IV,73.0,0.184,,0.049,0.037
AUDI,A6 Avant (Available From July 2001),4.2 V8 Quattro (340 bhp),,QA5,4172,Petrol,14.2,7.3,9.8,19.9,38.7,28.8,235,710,IV,74.0,0.514,,0.055,0.029
AUDI,A6 Avant (Available From July 2001),S6 4.2 V8 Quattro (340 bhp),,QA5,4172,Petrol,16.8,8.5,11.5,16.8,33.2,24.6,276,832,IV,73.0,0.348,,0.035,0.047
AUDI,Audi A8 (Standard & Sport),2.8 V6 Quattro (194 bhp),,QA5,2772,Petrol,17.6,8.6,11.9,16.1,32.8,23.7,286,863,IV,72.0,0.330,,0.064,0.031
AUDI,Audi A8 (Standard & Sport),3.7 V8 Quattro (260 bhp),,QA5,3697,Petrol,18.4,9.0,12.4,15.4,31.4,22.8,298,897,IV,73.0,0.665,,0.070,0.018
AUDI,Audi A8 (Standard & Sport),4.2 V8 Quattro (310 bhp),,QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,947,IV,74.0,0.380,,0.054,0.055
AUDI,Audi A8 (Standard & Sport),4.2 V8 Quattro (LWB) (310 bhp),,QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,947,IV,74.0,0.380,,0.054,0.055
FORD,Fiesta,1.25i 16V (13 inch tyre),,M5,1242,Petrol,8.7,5.8,6.9,32.5,48.7,40.9,161,500,IV,69.0,0.296,,0.054,0.061
FORD,Fiesta,1.25i 16V (14 inch tyre),,M5,1242,Petrol,8.8,5.7,6.9,32.1,49.6,40.9,161,500,IV,69.0,0.296,,0.054,0.061
FORD,Fiesta,1.6i 16V,,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,529,IV,71.0,0.533,,0.073,0.032
FORD,Puma,1.6i 16V,,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,529,IV,70.0,0.200,,0.037,0.023
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon,,A4,1999,Petrol,12.6,7.2,9.1,22.4,39.2,31.0,219,660,IV,70.0,0.233,,0.062,0.048
FORD,New Mondeo,2.0i 16V Estate LX/Zetec,,A4,1999,Petrol,12.6,7.3,9.2,22.4,38.7,30.7,221,666,IV,70.0,0.233,,0.062,0.048
FORD,New Mondeo,2.0i 16V Estate Ghia/Ghia X,,A4,1999,Petrol,12.7,7.4,9.3,22.2,38.2,30.4,223,673,IV,70.0,0.233,,0.062,0.048
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Ghia X,,M5,2495,Petrol,14.3,7.3,9.9,19.8,38.7,28.5,238,718,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6  Estate Ghia X,,M5,2495,Petrol,14.4,7.4,10.0,19.6,38.2,28.2,240,725,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Zetec S,,M5,2495,Petrol,14.5,7.5,10.1,19.5,37.7,28.0,242,731,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6 Estate Zetec S,,M5,2495,Petrol,14.7,7.7,10.3,19.2,36.7,27.4,247,747,IV,71.0,0.174,,0.059,0.019
FORD,New Galaxy,2.8i CD-V6,,M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,781,IV,73.0,0.280,,0.071,0.059
FORD,New Galaxy,2.8i CD-V6,,A5,2792,Petrol,16.8,9.2,12.0,16.8,30.7,23.5,288,871,IV,73.0,0.449,,0.061,0.016
JAGUAR CARS,Jaguar X Type,2.5,,A5,2497,Petrol,15.0,7.6,10.3,18.9,37.3,27.5,244,744,IV,71.0,0.560,,0.037,0.002
