Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
MG ROVER GROUP LTD,Rover 25,1.6,M5,1588,Petrol,9.2,5.6,6.9,30.6,50.6,40.8,166,481,III,71.0,0.371,,0.062,0.029,
MG ROVER GROUP LTD,Rover 25,1.6,CVT,1588,Petrol,10.8,5.5,7.5,26.2,50.9,37.8,178,520,III,68.0,0.628,,0.080,0.029,
MG ROVER GROUP LTD,Rover 25,1.6 (from VIN RF637299),CVT,1588,Petrol,11.1,5.7,7.7,25.5,49.3,36.6,184,537,III,68.0,0.628,,0.080,0.029,
MG ROVER GROUP LTD,Rover 25,1.8,CVT,1796,Petrol,11.5,6.3,8.2,24.7,45.0,34.6,196,568,III,72.0,0.475,,0.062,0.031,
MG ROVER GROUP LTD,Rover 25,Gti,M5,1796,Petrol,10.4,5.8,7.5,27.2,48.7,37.7,179,521,III,73.0,0.761,,0.118,0.097,
MG ROVER GROUP LTD,Rover 25,2.0,M5,1994,Diesel,7.2,4.1,5.2,39.2,68.3,53.8,150,380,III,74.0,0.038,0.390,,0.375,0.029
MG ROVER GROUP LTD,Rover 45,1.4,M5,1396,Petrol,9.3,5.7,7.0,30.4,49.9,40.3,168,487,III,73.0,0.258,,0.080,0.033,
MG ROVER GROUP LTD,Rover 45,1.6,M5,1588,Petrol,9.6,5.8,7.2,29.4,48.7,39.3,172,500,III,73.0,0.719,,0.086,0.035,
MG ROVER GROUP LTD,Rover 45,1.8,M5,1796,Petrol,9.7,5.8,7.3,29.2,48.3,38.9,174,505,III,74.0,0.342,,0.060,0.028,
MG ROVER GROUP LTD,Rover 45,1.8,CVT,1796,Petrol,11.9,6.5,8.5,23.8,43.2,33.3,203,590,III,72.0,0.509,,0.084,0.040,
MG ROVER GROUP LTD,Rover 45,2.0 V6,A5,1997,Petrol,13.9,6.7,9.3,20.3,42.2,30.2,224,650,III,72.0,0.375,,0.118,0.069,
MG ROVER GROUP LTD,Rover 45,2.0 V6 (from VIN RT567813),A5,1997,Petrol,14.6,7.0,9.8,19.3,40.1,28.7,234,684,III,72.0,0.375,,0.118,0.069,
MG ROVER GROUP LTD,Rover 45,2.0,M5,1994,Diesel,7.3,4.3,5.4,38.7,66.4,52.7,150,388,III,72.0,0.027,0.377,,0.370,0.030
MG ROVER GROUP LTD,Rover 75 Saloon,1.8,M5,1796,Petrol,10.7,6.0,7.8,26.4,46.9,36.4,185,540,III,73.0,0.484,,0.059,0.048,
MG ROVER GROUP LTD,Rover 75 Saloon,1.8,A5,1796,Petrol,12.6,7.5,9.4,22.5,37.4,30.1,224,652,III,70.0,0.730,,0.084,0.074,
MG ROVER GROUP LTD,Rover 75 Saloon,2.0,M5,1997,Petrol,13.9,7.0,9.6,20.3,40.1,29.5,228,666,III,73.0,0.428,,0.089,0.044,
MG ROVER GROUP LTD,Rover 75 Saloon,2.0,A5,1997,Petrol,14.5,7.8,10.3,19.5,36.0,27.5,245,714,III,69.0,0.328,,0.114,0.029,
MG ROVER GROUP LTD,Rover 75 Saloon,2.5,M5,2497,Petrol,13.6,7.0,9.4,20.8,40.4,30.0,225,655,III,73.0,0.394,,0.060,0.095,
MG ROVER GROUP LTD,Rover 75 Saloon,2.5,A5,2497,Petrol,15.2,7.7,10.4,18.6,36.8,27.1,249,725,III,70.0,0.379,,0.095,0.077,
MG ROVER GROUP LTD,Rover 75 Saloon,2.0 D,M5,1951,Diesel,7.7,4.7,5.8,36.5,60.7,48.8,163,419,III,74.0,0.218,0.460,,0.415,0.050
MG ROVER GROUP LTD,Rover 75 Saloon,2.0 D,A5,1951,Diesel,10.0,5.2,6.9,28.3,54.7,40.9,190,500,III,71.0,0.030,0.486,,0.472,0.045
MG ROVER GROUP LTD,Rover 75 Tourer,1.8,M5,1796,Petrol,10.7,6.0,7.8,26.4,46.9,36.4,185,540,III,73.0,0.484,,0.059,0.048,
MG ROVER GROUP LTD,Rover 75 Tourer,1.8,A5,1796,Petrol,12.6,7.5,9.4,22.5,37.4,30.1,224,652,III,70.0,0.730,,0.084,0.074,
MG ROVER GROUP LTD,Rover 75 Tourer,2.0,M5,1997,Petrol,13.9,7.0,9.6,20.3,40.1,29.5,228,666,III,73.0,0.428,,0.089,0.044,
MG ROVER GROUP LTD,Rover 75 Tourer,2.0,A5,1997,Petrol,15.1,8.2,10.7,18.8,34.6,26.4,255,744,III,69.0,0.328,,0.114,0.029,
MG ROVER GROUP LTD,Rover 75 Tourer,2.5,M5,2497,Petrol,13.6,7.0,9.4,20.8,40.4,30.0,225,655,III,73.0,0.394,,0.060,0.095,
MG ROVER GROUP LTD,Rover 75 Tourer,2.5,A5,2497,Petrol,15.6,7.9,10.7,18.1,35.9,26.4,255,744,III,70.0,0.379,,0.095,0.077,
MG ROVER GROUP LTD,Rover 75 Tourer,2.0 D,M5,1951,Diesel,7.7,4.7,5.8,36.5,60.7,48.8,163,419,III,74.0,0.218,0.460,,0.415,0.050
MG ROVER GROUP LTD,Rover 75 Tourer,2.0 D,A5,1951,Diesel,10.0,5.2,6.9,28.3,54.7,40.9,190,500,III,71.0,0.030,0.486,,0.472,0.045
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Pure,SM6,599,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,113,327,III,73.0,0.462,0.142,0.132,0.010,
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Pure,A6,599,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,118,341,III,68.0,0.421,0.150,0.139,0.011,
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Pulse,SM6,599,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,113,327,III,73.0,0.515,0.124,0.118,0.008,
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Pulse,A6,599,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,118,341,III,73.0,0.278,0.141,0.113,0.028,
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Passion,SM6,599,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,113,327,III,73.0,0.343,0.123,0.116,0.007,
MICRO COMPACT CAR (MCC),MCC Smart City Coupé Hatchback,Smart and Passion,A6,599,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,118,341,III,67.0,0.298,0.143,0.131,0.012,
MICRO COMPACT CAR (MCC),MCC Smart Cabrio Hatchback,Smart Cabrio and Pulse,SM6,599,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,113,327,III,73.0,0.515,0.124,0.118,0.008,
MICRO COMPACT CAR (MCC),MCC Smart Cabrio Hatchback,Smart Cabrio and Pulse,A6,599,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,118,341,III,73.0,0.278,0.141,0.113,0.028,
MICRO COMPACT CAR (MCC),MCC Smart Cabrio Hatchback,Smart Cabrio and Passion,SM6,599,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,113,327,III,73.0,0.343,0.123,0.116,0.007,
MICRO COMPACT CAR (MCC),MCC Smart Cabrio Hatchback,Smart Cabrio and Passion,A6,599,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,118,341,III,67.0,0.298,0.143,0.131,0.012,
MINI,MINI R50 / R53,MINI ONE,M5,1598,Petrol,8.7,5.2,6.5,32.5,54.3,43.5,158,451,III,73.0,0.410,,0.041,0.008,
MINI,MINI R50 / R53,MINI ONE,CVT,1598,Petrol,10.9,5.9,7.7,25.9,47.9,36.7,187,535,III,71.0,0.409,,0.079,0.011,
MINI,MINI R50 / R53,MINI COOPER,M5,1598,Petrol,9.0,5.3,6.7,31.4,53.3,42.2,163,465,III,74.0,0.635,,0.052,0.013,
MINI,MINI R50 / R53,MINI COOPER,CVT,1598,Petrol,10.9,5.9,7.7,25.9,47.9,36.7,187,535,III,72.0,0.462,,0.066,0.010,
MINI,MINI R50 / R53,MINI COOPER S,M6,1598,Petrol,11.4,6.8,8.4,24.8,41.5,33.6,202,584,III,74.0,0.754,,0.065,0.024,
MITSUBISHI,Carisma,1.6i 5 DOOR,M5,1597,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,176,514,III,71.0,0.215,,0.045,0.012,
MITSUBISHI,Carisma,1.6 CLASSIC,M5,1597,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,176,514,III,71.0,0.215,,0.045,0.012,
MITSUBISHI,Carisma,1.6 EQUIPPE,M5,1597,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,176,514,III,71.0,0.215,,0.045,0.012,
MITSUBISHI,Carisma,1.6 EQUIPPE,A4,1597,Petrol,11.3,6.7,8.4,25.0,42.2,33.6,198,584,III,67.0,0.257,,0.050,0.008,
MITSUBISHI,Carisma,1.8 GDI EQUIPPE 4/5 DOOR,M5,1834,Petrol,9.2,5.7,7.0,30.7,49.6,40.4,168,486,III,73.0,0.168,,0.073,0.101,
MITSUBISHI,Carisma,1.8 GDI EQUIPPE 4/5 DOOR,A4,1834,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,III,71.0,0.402,,0.098,0.086,
MITSUBISHI,Carisma,1.8 GDI MIRAGE,M5,1834,Petrol,9.2,5.7,7.0,30.7,49.6,40.4,168,486,III,73.0,0.168,,0.073,0.101,
MITSUBISHI,Carisma,1.8 GDI MIRAGE,A4,1834,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,III,71.0,0.402,,0.098,0.086,
MITSUBISHI,Carisma,1.8 GDI ELEGANCE,M5,1834,Petrol,9.2,5.7,7.0,30.7,49.6,40.4,168,486,III,73.0,0.168,,0.073,0.101,
MITSUBISHI,Carisma,1.8 GDI ELEGANCE,A4,1834,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,III,71.0,0.402,,0.098,0.086,
MITSUBISHI,Carisma,1.6 SE,M5,1600,Petrol,10.1,5.8,7.4,28.0,48.7,38.2,174,514,III,71.0,0.241,,0.033,0.018,
MITSUBISHI,Carisma,1.9 Equippe,M5,1900,Diesel,7.3,4.5,5.5,38.7,62.8,51.4,146,398,III,71.0,0.253,0.456,,0.431,0.021
MITSUBISHI,Colt,1.3 CLASSIC,M5,1299,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,156,459,III,72.0,0.413,,0.040,0.010,
MITSUBISHI,Colt,1.3 EQUIPPE,M5,1299,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,156,459,III,72.0,0.413,,0.040,0.010,
MITSUBISHI,Colt,1.6 EQUIPPE,M5,1597,Petrol,9.7,5.7,7.2,29.1,49.6,39.2,171,501,III,72.0,0.376,,0.040,0.010,
MITSUBISHI,Colt,1.6 EQUIPPE,A4,1597,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,192,571,III,69.0,0.233,,0.054,0.012,
MITSUBISHI,Colt,1.6 ELEGANCE,M5,1597,Petrol,9.7,5.7,7.2,29.1,49.6,39.2,171,501,III,72.0,0.378,,0.040,0.010,
MITSUBISHI,Colt,1.6 ELEGANCE,A4,1597,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,192,571,III,69.0,0.233,,0.054,0.012,
MITSUBISHI,Colt,1.6 MIRAGE ,A4,1597,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,192,571,III,69.0,0.233,,0.054,0.012,
MITSUBISHI,Colt,1.6 MIRAGE ,M5,1597,Petrol,9.7,5.7,7.2,29.1,49.6,39.2,171,501,III,72.0,0.387,,0.040,0.010,
MITSUBISHI,Colt,1.3 Attivo,M5,1300,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,156,459,III,76.0,0.413,,0.040,0.010,
MITSUBISHI,Colt Space Star,1.8 EQUIPPE GDI,M5,1834,Petrol,9.4,6.1,7.3,30.1,46.3,38.7,174,507,III,71.0,0.281,,0.124,0.078,
MITSUBISHI,Colt Space Star,1.8 EQUIPPE GDI,A4,1834,Petrol,11.2,6.6,8.3,25.2,42.8,34.0,198,578,III,71.0,0.490,,0.107,0.068,
MITSUBISHI,Colt Space Star,1.8 ELEGANCE GDI,M5,1834,Petrol,9.4,6.1,7.3,30.1,46.3,38.7,174,507,III,71.0,0.281,,0.124,0.078,
MITSUBISHI,Colt Space Star,1.8 ELEGANCE GDI,A4,1834,Petrol,11.2,6.6,8.3,25.2,42.8,34.0,198,578,III,71.0,0.490,,0.107,0.068,
MITSUBISHI,Colt Space Star,1.9 Mirage,M5,1900,Diesel,7.2,4.6,5.5,39.2,61.4,51.4,146,398,III,71.0,0.253,0.439,,0.431,0.021
MITSUBISHI,Galant - Estate,2.0 EQUIPPE,M5,1997,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,612,III,71.0,0.673,,0.107,0.042,
MITSUBISHI,Galant - Estate,2.0 EQUIPPE,A4,1997,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,231,675,III,68.0,0.364,,0.166,0.084,
MITSUBISHI,Galant - Estate,2.0 SE,M5,1997,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,612,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Estate,2.0 SPORT,M5,1997,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,612,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Estate,2.4 GDI Equippe ,M5,2351,Petrol,12.1,6.8,8.7,23.5,41.5,32.5,210,604,III,72.0,0.253,,0.090,0.075
MITSUBISHI,Galant - Estate,2.4 GDI Equippe ,A4,2351,Petrol,13.0,7.2,9.3,21.7,39.2,30.4,225,646,III,69.0,0.290,,0.101,0.074
MITSUBISHI,Galant - Estate,2.5 V6 -24v,M5,2498,Petrol,13.6,7.3,9.6,20.8,38.7,29.4,229,668,III,72.0,1.117,,0.092,0.011
MITSUBISHI,Galant - Estate,2.5 V6 -24v,A4,2498,Petrol,14.8,7.5,10.2,19.1,37.7,27.7,243,709,III,67.0,0.533,,0.054,0.008
MITSUBISHI,Galant - Estate,2.5 V6-24v SPORT,M5,2498,Petrol,13.6,7.3,9.6,20.8,38.7,29.4,229,668,III,72.0,1.117,,0.092,0.011
MITSUBISHI,Galant - Estate,2.5 V6 -24v SPORT,A4,2498,Petrol,14.8,7.5,10.2,19.1,37.7,27.7,243,709,III,67.0,0.533,,0.054,0.008
MITSUBISHI,Galant - Estate,2.4 GDI EQUIPPE,M5,2351,Petrol,12.8,7.9,9.6,22.1,35.8,29.4,229,668,III,70.0,0.186,,0.062,0.068
MITSUBISHI,Galant - Estate,2.4 GDI EQUIPPE,A4,2351,Petrol,13.3,8.3,10.1,21.2,34.0,28.0,242,701,III,67.0,0.229,,0.074,0.076
MITSUBISHI,Galant - Estate,2.4 GDI ELEGANCE,A4,2351,Petrol,13.3,8.3,10.1,21.2,34.0,28.0,242,701,III,67.0,0.229,,0.074,0.076
MITSUBISHI,Galant - Estate,2.0 CLASSIC ,A4,1997,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,231,675,III,68.0,0.364,,0.166,0.084
MITSUBISHI,Galant - Estate,2.5 V6 ELEGANCE ,M5,2498,Petrol,13.6,7.3,9.6,20.8,38.7,29.4,229,668,III,72.0,1.117,,0.092,0.011
MITSUBISHI,Galant - Estate,2.5 V6 ELEGANCE ,A4,2498,Petrol,14.8,7.5,10.2,19.1,37.7,27.7,243,709,III,67.0,0.533,,0.054,0.008
MITSUBISHI,Galant - Estate,2.0 CLASSIC,M5,1997,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,612,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Saloon,2.0 EQUIPPE,M5,1997,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,203,592,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Saloon,2.0 EQUIPPE,A4,1997,Petrol,13.0,7.3,9.4,21.7,38.7,30.1,224,652,III,68.0,0.364,,0.166,0.084
MITSUBISHI,Galant - Saloon,2.0 SE,M5,1997,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,203,592,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Saloon,2.0 SPORT,M5,1997,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,203,592,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Saloon,2.4 GDI Equippe,M5,2351,Petrol,12.0,6.7,8.6,23.5,42.2,32.8,207,599,III,72.0,0.253,,0.090,0.075
MITSUBISHI,Galant - Saloon,2.4 GDI Equippe,A4,2351,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,218,634,III,69.0,0.290,,0.101,0.074
MITSUBISHI,Galant - Saloon,2.5 V6 ELEGANCE,M5,2498,Petrol,13.5,7.1,9.5,20.9,39.8,29.7,227,661,III,72.0,1.117,,0.092,0.011
MITSUBISHI,Galant - Saloon,2.5 V6 ELEGANCE,A4,2498,Petrol,14.7,7.2,10.0,19.2,39.2,28.2,238,696,III,67.0,0.533,,0.054,0.008
MITSUBISHI,Galant - Saloon,2.5 V6-24v SPORT,M5,2498,Petrol,13.5,7.1,9.5,20.9,39.8,29.7,227,661,III,72.0,1.117,,0.092,0.011
MITSUBISHI,Galant - Saloon,2.5 V6-24v SPORT,A4,2498,Petrol,14.7,7.2,10.0,19.2,39.2,28.2,238,696,III,67.0,0.533,,0.054,0.008
MITSUBISHI,Galant - Saloon,2.0 CLASSIC ,M5,1997,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,203,592,III,71.0,0.673,,0.107,0.042
MITSUBISHI,Galant - Saloon,2.0 CLASSIC ,A4,1997,Petrol,13.0,7.3,9.4,21.7,38.7,30.1,224,652,III,68.0,0.364,,0.166,0.084
MITSUBISHI,Galant - Saloon,2.4 GDI EQUIPPE ,M5,2351,Petrol,12.0,6.7,8.6,23.5,42.2,32.8,207,599,III,72.0,0.253,,0.090,0.075
MITSUBISHI,Galant - Saloon,2.4 GDI EQUIPPE,A4,2351,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,218,634,III,69.0,0.290,,0.101,0.074
MITSUBISHI,Shogun Pinin,2.0 GDI CLASSIC SWB,M5,1999,Petrol,12.1,7.9,9.4,23.3,35.8,30.1,225,652,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI EQUIPPE SWB,M5,1999,Petrol,12.1,7.9,9.4,23.3,35.8,30.1,225,652,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI ELEGANCE SWB,M5,1999,Petrol,12.1,7.9,9.4,23.3,35.8,30.1,225,652,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI EQUIPPE SWB,A4,1999,Petrol,12.5,8.3,9.8,22.6,34.0,28.8,235,682,III,72.0,0.250,,0.125,0.090
MITSUBISHI,Shogun Pinin,2.0 GDI ELEGANCE SWB,A4,1999,Petrol,12.5,8.3,9.8,22.6,34.0,28.8,235,682,III,72.0,0.250,,0.125,0.090
MITSUBISHI,Shogun Pinin,2.0 GDI EQUIPPE LWB,M5,1999,Petrol,12.2,8.0,9.5,23.2,35.3,29.7,227,661,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI ELEGANCE LWB,M5,1999,Petrol,12.2,8.0,9.5,23.2,35.3,29.7,227,661,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI EQUIPPE LWB,A4,1999,Petrol,12.6,8.4,9.9,22.4,33.6,28.5,237,689,III,72.0,0.250,,0.125,0.090
MITSUBISHI,Shogun Pinin,2.0 GDI ELEGANCE LWB,A4,1999,Petrol,12.6,8.4,9.9,22.4,33.6,28.5,237,689,III,72.0,0.250,,0.125,0.090
MITSUBISHI,Shogun Pinin,2.0 GDI VIVO LWB,M5,1999,Petrol,12.2,8.0,9.5,23.2,35.3,29.7,227,661,III,73.0,0.229,,0.108,0.083
MITSUBISHI,Shogun Pinin,2.0 GDI VIVO LWB,A4,1999,Petrol,12.6,8.4,9.9,22.4,33.6,28.5,237,689,III,72.0,0.250,,0.125,0.090
MITSUBISHI,Shogun Pinin,1.8 MPI EQUIPPE SWB,A4,1834,Petrol,12.2,8.3,9.7,23.2,34.0,29.1,230,675,III,72.0,0.631,,0.088,0.037
MITSUBISHI,Shogun Pinin,1.8 MPI CLASSIC LWB ,M5,1834,Petrol,11.7,8.3,9.5,24.1,34.0,29.7,225,661,III,74.0,0.875,,0.067,0.023
MITSUBISHI,Shogun Pinin,1.8 MPI CLASSIC SWB ,M5,1834,Petrol,11.7,8.3,9.5,24.1,34.0,29.7,225,661,III,74.0,0.875,,0.067,0.023
MITSUBISHI,Shogun Pinin,1.8 MPI CLASSIC SWB ,M5,1834,Petrol,12.2,8.3,9.7,23.2,34.0,29.1,230,675,III,72.0,0.631,,0.088,0.037
MITSUBISHI,Shogun Pinin,1.8 MPI EQUIPPE SWB ,M5,1834,Petrol,11.7,8.3,9.5,24.1,34.0,29.7,225,661,III,74.0,0.875,,0.067,0.023
MITSUBISHI,Shogun Pinin,1.8 MPI CLASSIC LWB ,A4,1834,Petrol,12.4,8.6,10.0,22.8,32.8,28.2,237,696,III,72.0,0.631,,0.088,0.037
MITSUBISHI,Shogun Pinin,1.8 Animal,M5,1834,Petrol,11.7,8.3,9.5,23.2,34.0,29.7,225,661,III,74.0,0.875,,0.087,0.023
MITSUBISHI,Shogun Pinin,1.8 Animal,A4,1800,Petrol,12.2,8.3,9.7,23.2,34.0,29.1,230,675,III,72.0,0.631,,0.088,0.037
MITSUBISHI,Shogun Pinin,2.0 Animal,M5,2000,Petrol,12.7,8.0,9.5,22.2,35.3,29.7,227,661,III,73.0,0.229,,0.108,0.083,
MITSUBISHI,Shogun Pinin,2.0 Animal,A4,2000,Petrol,12.6,8.4,9.9,22.4,33.6,28.5,237,689,III,72.0,0.250,,0.125,0.090,
MITSUBISHI,Shogun Sport,2.5 Classic,M5,2500,Diesel,13.0,8.8,10.4,21.7,32.1,27.2,275,752,III,74.0,0.113,0.574,,0.560,0.072
MITSUBISHI,Shogun Sport,2.5 Equippe,M5,2500,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,760,III,74.0,0.113,0.574,,0.560,0.072
MITSUBISHI,Shogun Sport,2.5 Animal,M5,2500,Diesel,13.1,9.0,10.5,21.6,31.4,26.9,278,760,III,74.0,0.113,0.574,,0.560,0.072
MITSUBISHI,Shogun Sport,3.0 V6 EQUIPPE,M5,2972,Petrol,16.9,9.9,12.5,12.7,28.5,22.6,296,869,III,74.0,0.164,,0.055,0.036,
MITSUBISHI,Shogun Sport,3.0 ELEGANCE,A4,2972,Petrol,17.1,11.2,13.4,16.5,25.2,21.1,319,931,III,71.0,0.313,,0.089,0.024,
MITSUBISHI,Space Wagon,2.4 GDI EQUIPPE,M5,2351,Petrol,12.8,7.9,9.6,22.1,35.8,29.4,229,668,III,70.0,0.186,,0.062,0.068,
MITSUBISHI,Space Wagon,2.0 CLASSIC,M5,1997,Petrol,12.6,7.6,9.5,22.4,37.2,29.7,225,661,III,73.0,0.504,,0.125,0.067,
MITSUBISHI,Space Wagon,2.4 GDI ELEGANCE,A4,2351,Petrol,13.3,8.3,10.1,21.2,34.0,28.0,242,701,III,67.0,0.229,,0.074,0.076,
MITSUBISHI,Space Wagon,2.4 GDI EQUIPPE,A4,2351,Petrol,13.3,8.3,10.1,21.2,34.0,28.0,242,701,III,67.0,0.229,,0.074,0.076,
MITSUBISHI,Space Wagon,2.0 Equippe ,M5,1997,Petrol,12.6,7.6,9.5,22.4,37.2,29.7,225,661,III,73.0,0.504,,0.125,0.067,
MITSUBISHI,Space Wagon,2.0 Classic,M5,2000,Petrol,12.6,7.6,9.5,22.4,37.2,29.7,225,661,III,73.0,0.504,,0.125,0.067,
MITSUBISHI,Shogun 2002,3.2 CLASSIC SWB,M5,3200,Diesel,12.1,7.9,9.5,23.3,35.8,29.7,251,689,III,76.0,0.249,0.604,,0.583,0.034
MITSUBISHI,Shogun 2002,3.2 EQUIPPE SWB ,M5,3200,Diesel,12.1,7.9,9.5,23.3,35.8,29.7,251,689,III,76.0,0.249,0.604,,0.583,0.034
MITSUBISHI,Shogun 2002,3.2 EQUIPPE SWB,A5,3200,Diesel,13.3,8.8,10.5,21.2,32.1,26.9,278,760,III,73.0,0.175,0.064,,0.583,0.072
MITSUBISHI,Shogun 2002,3.5 EQUIPPE SWB,A5,3497,Petrol,19.9,11.1,14.2,14.2,25.4,19.9,339,987,III,74.0,0.253,,0.091,0.109,
MITSUBISHI,Shogun 2002,3.2 CLASSIC LWB,M5,3200,Diesel,12.1,7.9,9.5,23.3,35.8,29.7,251,689,III,76.0,0.249,0.604,,0.583,0.034
MITSUBISHI,Shogun 2002,3.2 CLASSIC LWB,A5,3200,Diesel,13.3,8.8,10.5,21.2,32.1,26.9,278,760,III,74.0,0.175,0.604,,0.583,0.072
MITSUBISHI,Shogun 2002,3.2 EQUIPPE LWB,M5,3200,Diesel,12.1,7.9,9.5,23.3,35.8,29.7,251,689,III,76.0,0.249,0.604,,0.583,0.034
MITSUBISHI,Shogun 2002,3.2 EQUIPPE LWB,A5,3200,Diesel,13.3,8.8,10.5,21.2,32.1,26.9,278,760,III,74.0,0.175,0.604,,0.583,0.072
MITSUBISHI,Shogun 2002,3.5 V6 CLASSIC LWB ,A5,3497,Petrol,19.9,11.1,14.2,14.2,25.2,19.9,339,987,III,74.0,0.235,,0.091,0.109,
MITSUBISHI,Shogun 2002,3.5 V6 ELEGANCE LWB,A5,3497,Petrol,19.9,11.1,14.2,14.2,25.4,19.9,339,987,III,74.0,0.253,,0.091,0.109,
MITSUBISHI,Shogun 2002,3.2 Animal,A5,3200,Diesel,13.3,8.8,10.5,21.2,32.1,26.9,278,760,III,74.0,0.175,0.604,,0.538,0.072
MORGAN MOTOR COMPANY,Morgan,Aero 8,M6,4398,Petrol,18.4,8.9,12.4,15.3,31.7,22.8,295,861,III,74.0,0.528,0.091,0.045,0.046,
MORGAN MOTOR COMPANY,Morgan,Plus 8,M5,3950,Petrol,17.2,9.2,12.2,16.4,30.7,23.2,290,846,III,74.0,1.327,0.197,0.184,0.013,
MORGAN MOTOR COMPANY,Morgan,4/4,M5,1796,Petrol,11.4,6.3,8.2,24.8,44.9,34.5,196,569,III,74.0,0.352,0.069,0.044,0.025,
NISSAN,Micra ,1.0 3/5 door,MT,998,Petrol,7.4,5.2,6.0,38.2,54.3,47.1,149,417,III,72.0,0.584,,0.066,0.041,
NISSAN,Micra ,1.0 3/5 door,CVT,998,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,149,424,III,67.0,0.517,,0.077,0.022,
NISSAN,Micra ,1.4 3/5 door,MT,1348,Petrol,7.7,5.2,6.1,36.7,54.3,46.3,147,424,III,70.0,0.662,,0.047,0.033,
NISSAN,Micra ,1.4 3/5 door,CVT,1348,Petrol,8.5,5.2,6.4,33.2,54.3,44.1,155,445,III,69.0,0.628,,0.068,0.035,
NISSAN,Almera,1.5 3/5 door,M5,1498,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,160,459,III,70.0,0.684,,0.052,0.028,
NISSAN,Almera,1.8 3/5 door,M5,1769,Petrol,10.2,5.9,7.5,27.7,47.9,37.7,180,521,III,73.0,0.589,,0.024,0.020,
NISSAN,Almera,1.8 4 door,M5,1769,Petrol,10.4,6.0,7.6,27.2,47.0,37.2,183,528,III,73.0,0.589,,0.024,0.020,
NISSAN,Almera,1.8 3/4/5 door,A4,1769,Petrol,10.6,6.2,7.8,26.6,45.6,36.2,188,543,III,71.0,0.512,,0.027,0.031,
