Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
VOLKSWAGEN,Golf Hatchback (5 Door),1.9 SDI (68 bhp),M5,1896,Diesel,7.1,4.4,5.3,39.8,64.2,53.3,143,384,III,73.0,0.436,0.394,,0.314,0.036
VOLKSWAGEN,Golf Hatchback (5 Door),1.9 TDI PD (100 bhp),M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,384,III,74.0,0.073,0.355,,0.330,0.025
VOLKSWAGEN,Golf Hatchback (5 Door),1.9 TDI PD Tiptronic (100 bhp),A5,1896,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,178,478,III,69.0,0.115,0.456,,0.432,0.028
VOLKSWAGEN,Golf Hatchback (5 Door),1.9 TDI (130 bhp),M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,391,III,72.0,0.081,0.392,,0.376,0.029
VOLKSWAGEN,Golf Hatchback (5 Door),1.9 TDI (150 bhp),M6,1896,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,146,391,III,74.0,0.177,0.395,,0.363,0.024
VOLKSWAGEN,Golf Estate,1.9 SDI (68 bhp),M5,1896,Diesel,7.2,4.5,5.4,39.2,62.8,52.3,146,391,III,73.0,0.436,0.394,,0.314,0.036
VOLKSWAGEN,Golf Estate,1.9 TDI PD Tiptronic (100 bhp),A5,1896,Diesel,8.7,5.2,6.5,32.5,54.3,43.5,176,470,III,69.0,0.115,0.456,,0.432,0.028
VOLKSWAGEN,Golf Estate,1.9 TDI PD (100 bhp),M5,1896,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,146,391,III,74.0,0.073,0.355,,0.330,0.025
VOLKSWAGEN,Golf Estate,1.9 TDI (130 bhp),M6,1896,Diesel,7.2,4.6,5.5,39.2,61.4,51.4,149,398,III,72.0,0.081,0.392,,0.376,0.029
VOLKSWAGEN,Golf Estate,1.9 TDI Tiptronic (130 bhp),A5,1896,Diesel,9.2,5.3,6.7,30.7,53.3,42.2,181,485,III,72.0,0.033,0.462,,0.450,0.027
VOLKSWAGEN,Golf Estate,1.9 TDI (150 bhp),M6,1896,Diesel,7.3,4.5,5.5,38.7,62.8,51.4,149,398,III,74.0,0.177,0.395,,0.363,0.024
VOLKSWAGEN,Golf Cabriolet,2.0 (115 bhp),A4,1984,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,221,640,III,71.0,0.668,,0.082,0.070,
VOLKSWAGEN,Bora,1.9 TDI PD Tiptronic (100 bhp),A5,1896,Diesel,8.7,5.2,6.5,32.5,54.3,43.5,176,470,III,69.0,0.115,0.456,,0.432,0.028
VOLKSWAGEN,Bora,1.9 TDI PD (100 bhp),M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,384,III,74.0,0.073,0.355,,0.330,0.025
VOLKSWAGEN,Bora,1.9 TDI (130 bhp),M6,1896,Diesel,7.2,4.6,5.5,39.2,61.4,51.4,149,398,III,72.0,0.081,0.392,,0.376,0.029
VOLKSWAGEN,Bora,1.9 TDI Tiptronic (130 bhp),A5,1896,Diesel,9.1,5.2,6.6,31.0,54.3,42.8,178,478,III,72.0,0.033,0.462,,0.450,0.027
VOLKSWAGEN,Bora,1.9 TDI (150 bhp),M6,1896,Diesel,7.3,4.5,5.5,38.7,62.8,51.4,149,398,III,74.0,0.177,0.395,,0.363,0.024
VOLKSWAGEN,Beetle,1.9 TDI (100 bhp),M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,384,III,72.0,0.161,0.324,,0.296,0.024
VOLKSWAGEN,Beetle,2.0 (115 bhp),A4,1984,Petrol,13.0,7.1,9.3,21.7,39.8,30.4,223,646,III,73.0,1.106,,0.126,0.073,
